日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.035,1.033,1.036,1.03,12539,1293577.0,0.58,-0.19,-0.002,0.01
2014-09-02,1.03,1.035,1.038,1.022,1084,111296.0,1.55,0.19,0.002,0.0
2014-09-03,1.04,1.062,1.066,1.04,5315,561682.0,2.51,2.61,0.027,0.0
2014-09-04,1.077,1.075,1.077,1.068,8274,887993.0,0.85,1.22,0.013,0.01
2014-09-05,1.077,1.072,1.077,1.065,19285,2062926.0,1.12,-0.28,-0.003,0.01
2014-09-09,1.072,1.074,1.075,1.058,10138,1084950.0,1.59,0.19,0.002,0.01
2014-09-10,1.067,1.054,1.067,1.053,4049,428649.0,1.3,-1.86,-0.02,0.0
2014-09-11,1.051,1.042,1.051,1.04,3499,365002.0,1.04,-1.14,-0.012,0.0
2014-09-12,1.042,1.04,1.043,1.037,811,84339.0,0.58,-0.19,-0.002,0.0
2014-09-15,1.038,1.026,1.038,1.02,4354,446429.0,1.73,-1.35,-0.014,0.0
2014-09-16,1.024,1.015,1.024,1.015,2518,256204.0,0.88,-1.07,-0.011,0.0
2014-09-17,1.022,1.025,1.031,1.022,1826,187519.0,0.89,0.99,0.01,0.0
2014-09-18,1.016,1.017,1.02,1.014,1713,174275.0,0.59,-0.78,-0.008,0.0
2014-09-19,1.022,1.024,1.025,1.012,3771,383634.0,1.28,0.69,0.007,0.0
2014-09-22,1.006,0.999,1.008,0.999,3563,356784.0,0.88,-2.44,-0.025,0.0
2014-09-23,0.998,0.999,1.005,0.996,12079,1208712.0,0.9,0.0,0.0,0.01
2014-09-24,1.001,1.013,1.015,1.0,2635,265200.0,1.5,1.4,0.014,0.0
2014-09-25,1.017,1.011,1.017,1.005,1852,186782.0,1.18,-0.2,-0.002,0.0
2014-09-26,0.999,0.996,1.0,0.996,12795,1276207.0,0.4,-1.48,-0.015,0.01
2014-09-29,0.996,0.99,0.996,0.982,10812,1065445.0,1.41,-0.6,-0.006,0.01
2014-09-30,0.99,0.983,0.99,0.975,19867,1943719.0,1.52,-0.71,-0.007,0.02
2014-10-08,0.987,0.986,0.997,0.98,15347,1508499.0,1.73,0.31,0.003,0.01
2014-10-09,0.987,0.996,0.998,0.987,15033,1494925.0,1.12,1.01,0.01,0.01
2014-10-10,0.993,0.976,0.993,0.975,8936,876140.0,1.81,-2.01,-0.02,0.01
2014-10-13,0.97,0.97,0.97,0.964,5438,525053.0,0.61,-0.61,-0.006,0.0
2014-10-14,0.973,0.975,0.98,0.971,5000,487928.0,0.93,0.52,0.005,0.0
2014-10-15,0.971,0.98,0.982,0.971,10851,1062108.0,1.13,0.51,0.005,0.01
2014-10-16,0.961,0.97,0.973,0.961,5349,518895.0,1.22,-1.02,-0.01,0.0
2014-10-17,0.965,0.974,0.975,0.96,8486,818971.0,1.55,0.41,0.004,0.01
2014-10-20,0.982,0.98,0.985,0.977,5301,520300.0,0.82,0.62,0.006,0.0
2014-10-21,0.978,0.97,0.98,0.969,14820,1442922.0,1.12,-1.02,-0.01,0.01
2014-10-22,0.98,0.985,0.99,0.977,12335,1214738.0,1.34,1.55,0.015,0.01
2014-10-23,0.987,0.984,0.993,0.984,6925,683587.0,0.91,-0.1,-0.001,0.01
2014-10-24,0.988,0.979,0.988,0.978,7854,771019.0,1.02,-0.51,-0.005,0.01
2014-10-27,0.982,0.97,0.982,0.969,8225,799279.0,1.33,-0.92,-0.009,0.01
2014-10-28,0.979,0.989,0.989,0.979,9188,904376.0,1.03,1.96,0.019,0.01
2014-10-29,0.99,1.007,1.01,0.99,17117,1713397.0,2.02,1.82,0.018,0.01
2014-10-30,1.005,1.001,1.006,1.001,4851,487010.0,0.5,-0.6,-0.006,0.0
2014-10-31,1.008,1.014,1.016,1.008,6379,646402.0,0.8,1.3,0.013,0.0
2014-11-03,1.015,1.005,1.016,1.004,3369,339499.0,1.18,-0.89,-0.009,0.0
2014-11-04,1.003,1.014,1.014,1.003,7044,713099.0,1.09,0.9,0.009,0.01
2014-11-05,1.005,0.998,1.005,0.997,13778,1377351.0,0.79,-1.58,-0.016,0.01
2014-11-06,1.001,1.002,1.002,0.999,8619,861790.0,0.3,0.4,0.004,0.01
2014-11-07,0.997,1.001,1.015,0.991,12435,1242348.0,2.4,-0.1,-0.001,0.01
2014-11-10,1.005,1.009,1.014,1.004,18167,1830932.0,1.0,0.8,0.008,0.01
2014-11-11,1.005,1.003,1.014,1.001,10033,1012449.0,1.29,-0.59,-0.006,0.01
2014-11-12,1.006,1.011,1.012,1.004,1320,133139.0,0.8,0.8,0.008,0.0
2014-11-13,1.016,1.019,1.02,1.011,17112,1739347.0,0.89,0.79,0.008,0.01
2014-11-14,1.023,1.012,1.023,1.009,12956,1311570.0,1.37,-0.69,-0.007,0.01
2014-11-17,1.025,0.994,1.025,0.994,15432,1549129.0,3.06,-1.78,-0.018,0.01
2014-11-18,0.996,0.983,0.996,0.98,5959,587128.0,1.61,-1.11,-0.011,0.0
2014-11-19,0.983,0.983,0.986,0.98,12572,1236973.0,0.61,0.0,0.0,0.01
2014-11-20,0.981,0.984,0.986,0.977,5791,569031.0,0.92,0.1,0.001,0.0
2014-11-21,0.979,0.987,0.987,0.979,12082,1185533.0,0.81,0.3,0.003,0.01
2014-11-24,0.999,1.02,1.022,0.999,26915,2731739.0,2.33,3.34,0.033,0.02
2014-11-25,0.993,1.013,1.019,0.993,24280,2458662.0,2.55,-0.69,-0.007,0.02
