日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.87,1.874,1.876,1.864,5784080,938172880.0,0.64,0.16,0.003,1.24
2014-09-02,1.877,1.897,1.9,1.869,6967210,1136437200.0,1.65,1.23,0.023,1.5
2014-09-03,1.903,1.915,1.919,1.9,6670508,1109440816.0,1.0,0.95,0.018,1.43
2014-09-04,1.917,1.927,1.929,1.911,5516804,920845920.0,0.94,0.63,0.012,1.19
2014-09-05,1.933,1.947,1.95,1.93,5650915,955187808.0,1.04,1.04,0.02,1.21
2014-09-09,1.947,1.933,1.95,1.932,4845904,819472816.0,0.92,-0.72,-0.014,1.04
2014-09-10,1.927,1.919,1.927,1.915,4882191,816176288.0,0.62,-0.72,-0.014,1.05
2014-09-11,1.919,1.914,1.94,1.908,5793291,969842816.0,1.67,-0.26,-0.005,1.24
2014-09-12,1.909,1.923,1.924,1.905,3814789,634937120.0,0.99,0.47,0.009,0.82
2014-09-15,1.911,1.917,1.92,1.904,3921540,652433728.0,0.83,-0.31,-0.006,0.84
2014-09-16,1.918,1.892,1.92,1.89,5269966,875710368.0,1.56,-1.3,-0.025,1.13
2014-09-17,1.899,1.896,1.902,1.888,5191992,855103920.0,0.74,0.21,0.004,1.12
2014-09-18,1.894,1.9,1.908,1.888,4833383,796889296.0,1.05,0.21,0.004,1.04
2014-09-19,1.9,1.913,1.915,1.896,3946775,654196288.0,1.0,0.68,0.013,0.85
2014-09-22,1.905,1.876,1.905,1.871,4186043,686332784.0,1.78,-1.93,-0.037,0.9
2014-09-23,1.876,1.888,1.889,1.875,6210012,1014907312.0,0.75,0.64,0.012,1.33
2014-09-24,1.881,1.92,1.921,1.876,6405438,1057707680.0,2.38,1.69,0.032,1.38
2014-09-25,1.928,1.909,1.93,1.908,4993066,835049008.0,1.15,-0.57,-0.011,1.07
2014-09-26,1.907,1.91,1.912,1.897,3564025,590665040.0,0.79,0.05,0.001,0.77
2014-09-29,1.913,1.915,1.918,1.904,6536695,1086999088.0,0.73,0.26,0.005,1.4
2014-09-30,1.915,1.914,1.916,1.908,2919367,485736864.0,0.42,-0.05,-0.001,0.63
2014-10-08,1.916,1.924,1.924,1.908,3875551,646442880.0,0.84,0.52,0.01,0.83
2014-10-09,1.925,1.925,1.93,1.917,3705997,621396384.0,0.68,0.05,0.001,0.8
2014-10-10,1.915,1.912,1.922,1.909,3543252,590741296.0,0.68,-0.68,-0.013,0.76
2014-10-13,1.908,1.901,1.908,1.889,3841915,633072480.0,0.99,-0.58,-0.011,0.83
2014-10-14,1.896,1.891,1.908,1.887,3465732,571711584.0,1.1,-0.53,-0.01,0.74
2014-10-15,1.892,1.908,1.909,1.885,3795353,625570176.0,1.27,0.9,0.017,0.82
2014-10-16,1.899,1.903,1.921,1.894,4434016,735196304.0,1.42,-0.26,-0.005,0.95
2014-10-17,1.904,1.898,1.909,1.887,4858931,801101408.0,1.16,-0.26,-0.005,1.04
2014-10-20,1.904,1.903,1.907,1.897,3309492,547681584.0,0.53,0.26,0.005,0.71
2014-10-21,1.903,1.894,1.907,1.893,3482982,575764656.0,0.74,-0.47,-0.009,0.75
2014-10-22,1.894,1.892,1.906,1.89,4046643,667033968.0,0.84,-0.11,-0.002,0.87
2014-10-23,1.891,1.88,1.897,1.879,4219693,692609312.0,0.95,-0.63,-0.012,0.91
2014-10-24,1.881,1.877,1.885,1.875,3660862,597688928.0,0.53,-0.16,-0.003,0.79
2014-10-27,1.867,1.852,1.867,1.85,4368667,702577520.0,0.91,-1.33,-0.025,0.94
2014-10-28,1.855,1.877,1.879,1.854,4512520,728946912.0,1.35,1.35,0.025,0.97
2014-10-29,1.884,1.899,1.909,1.879,4288525,704426480.0,1.6,1.17,0.022,0.92
2014-10-30,1.899,1.911,1.918,1.894,3677726,608861984.0,1.26,0.63,0.012,0.79
2014-10-31,1.917,1.953,1.963,1.917,6673714,1127396112.0,2.41,2.2,0.042,1.43
2014-11-03,1.954,1.943,1.958,1.941,4810800,818387952.0,0.87,-0.51,-0.01,1.03
2014-11-04,1.939,1.938,1.944,1.934,4357221,736729312.0,0.51,-0.26,-0.005,0.94
2014-11-05,1.939,1.933,1.941,1.927,4160846,701602464.0,0.72,-0.26,-0.005,0.89
2014-11-06,1.935,1.93,1.941,1.922,4687573,788492704.0,0.98,-0.16,-0.003,1.01
