日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-18,0.989,0.977,0.989,0.969,345605,33817947.0,2.0,-2.3,-0.023,0.09
2017-01-19,0.978,0.989,0.99,0.978,257716,25425534.0,1.23,1.23,0.012,0.07
2017-01-20,0.989,0.988,0.99,0.986,50980,5043289.0,0.4,-0.1,-0.001,0.01
2017-01-23,0.988,0.988,0.989,0.986,13739,1356129.0,0.3,0.0,0.0,0.0
2017-01-24,0.989,0.989,0.992,0.987,17937,1774398.0,0.51,0.1,0.001,0.0
2017-01-25,0.99,1.001,1.004,0.99,84078,8403311.0,1.42,1.21,0.012,0.02
2017-01-26,1.01,1.01,1.01,1.005,53064,5349893.0,0.5,0.9,0.009,0.01
2017-02-03,1.003,1.007,1.008,1.0,39162,3930904.0,0.79,-0.3,-0.003,0.01
2017-02-06,1.009,1.009,1.01,1.006,26081,2629748.0,0.4,0.2,0.002,0.01
2017-02-07,1.01,1.018,1.023,1.01,25637,2607407.0,1.29,0.89,0.009,0.01
2017-02-08,1.02,1.019,1.023,1.017,9855,1004273.0,0.59,0.1,0.001,0.0
2017-02-09,1.025,1.03,1.033,1.025,81221,8371965.0,0.79,1.08,0.011,0.02
2017-02-10,1.034,1.035,1.037,1.032,91945,9511312.0,0.49,0.49,0.005,0.03
2017-02-13,1.041,1.042,1.043,1.036,16788,1746400.0,0.68,0.68,0.007,0.0
2017-02-14,1.044,1.049,1.049,1.043,43500,4551443.0,0.58,0.67,0.007,0.01
2017-02-15,1.052,1.058,1.066,1.049,36564,3860855.0,1.62,0.86,0.009,0.01
2017-02-16,1.061,1.06,1.066,1.058,51844,5502260.0,0.76,0.19,0.002,0.01
2017-02-17,1.061,1.065,1.069,1.061,63312,6745465.0,0.75,0.47,0.005,0.02
2017-02-20,1.068,1.092,1.095,1.068,62736,6784231.0,2.54,2.54,0.027,0.02
2017-02-21,1.102,1.077,1.102,1.074,45083,4903604.0,2.56,-1.37,-0.015,0.01
2017-02-22,1.08,1.087,1.092,1.079,75113,8150977.0,1.21,0.93,0.01,0.02
2017-02-23,1.092,1.088,1.094,1.087,37801,4121671.0,0.64,0.09,0.001,0.01
2017-02-24,1.087,1.075,1.087,1.071,33417,3590746.0,1.47,-1.19,-0.013,0.01
2017-02-27,1.071,1.06,1.071,1.057,31839,3377919.0,1.3,-1.4,-0.015,0.01
2017-02-28,1.067,1.061,1.067,1.061,14671,1559117.0,0.57,0.09,0.001,0.0
2017-03-01,1.062,1.064,1.066,1.061,15897,1689929.0,0.47,0.28,0.003,0.0
2017-03-02,1.077,1.077,1.081,1.071,13698,1473433.0,0.94,1.22,0.013,0.0
2017-03-03,1.073,1.064,1.073,1.062,21901,2330404.0,1.02,-1.21,-0.013,0.01
2017-03-06,1.064,1.065,1.075,1.063,7491,797675.0,1.13,0.09,0.001,0.0
2017-03-07,1.065,1.061,1.065,1.056,11101,1174930.0,0.85,-0.38,-0.004,0.0
2017-03-08,1.062,1.062,1.065,1.061,18264,1940273.0,0.38,0.09,0.001,0.0
2017-03-09,1.071,1.071,1.072,1.069,19659,2104309.0,0.28,0.85,0.009,0.01
2017-03-10,1.07,1.071,1.071,1.065,5620,600878.0,0.56,0.0,0.0,0.0
2017-03-13,1.071,1.071,1.072,1.069,17504,1873623.0,0.28,0.0,0.0,0.0
2017-03-14,1.083,1.083,1.086,1.08,21692,2348264.0,0.56,1.12,0.012,0.01
2017-03-15,1.083,1.08,1.083,1.078,5468,590471.0,0.46,-0.28,-0.003,0.0
2017-03-16,1.079,1.087,1.088,1.079,12827,1391156.0,0.83,0.65,0.007,0.0
2017-03-17,1.095,1.096,1.1,1.09,16082,1764224.0,0.92,0.83,0.009,0.0
2017-03-20,1.096,1.111,1.114,1.096,15386,1704834.0,1.64,1.37,0.015,0.0
2017-03-21,1.113,1.12,1.121,1.113,18880,2113540.0,0.72,0.81,0.009,0.01
2017-03-22,1.091,1.093,1.1,1.09,28127,3075288.0,0.89,-2.41,-0.027,0.01
2017-03-23,1.094,1.085,1.098,1.084,14262,1552773.0,1.28,-0.73,-0.008,0.0
2017-03-24,1.087,1.092,1.093,1.087,10023,1093404.0,0.55,0.65,0.007,0.0
2017-03-27,1.092,1.085,1.092,1.084,12051,1311907.0,0.73,-0.64,-0.007,0.0
2017-03-28,1.088,1.098,1.099,1.087,7687,838772.0,1.11,1.2,0.013,0.0
2017-03-29,1.098,1.102,1.114,1.089,8711,959080.0,2.28,0.36,0.004,0.0
2017-03-30,1.104,1.099,1.108,1.098,9249,1018721.0,0.91,-0.27,-0.003,0.0
2017-03-31,1.099,1.107,1.111,1.087,12498,1375604.0,2.18,0.73,0.008,0.0
2017-04-05,1.109,1.111,1.115,1.109,7899,878029.0,0.54,0.36,0.004,0.0
2017-04-06,1.112,1.102,1.115,1.098,12983,1434381.0,1.53,-0.81,-0.009,0.0
2017-04-07,1.102,1.103,1.107,1.097,14006,1542121.0,0.91,0.09,0.001,0.0
2017-04-10,1.103,1.109,1.113,1.103,6750,748917.0,0.91,0.54,0.006,0.0
2017-04-11,1.111,1.113,1.118,1.111,8945,995337.0,0.63,0.36,0.004,0.0
2017-04-12,1.113,1.11,1.113,1.108,7932,880497.0,0.45,-0.27,-0.003,0.0
2017-04-13,1.11,1.111,1.114,1.109,3839,426262.0,0.45,0.09,0.001,0.0
2017-04-14,1.111,1.107,1.111,1.103,3357,371385.0,0.72,-0.36,-0.004,0.0
2017-04-17,1.1,1.106,1.115,1.1,3774,417111.0,1.36,-0.09,-0.001,0.0
2017-04-18,1.112,1.109,1.112,1.106,2125,235642.0,0.54,0.27,0.003,0.0
2017-04-19,1.109,1.105,1.109,1.104,3985,440279.0,0.45,-0.36,-0.004,0.0
2017-04-20,1.105,1.111,1.112,1.105,4305,477374.0,0.63,0.54,0.006,0.0
2017-04-21,1.118,1.125,1.125,1.117,12099,1357682.0,0.72,1.26,0.014,0.0
2017-04-24,1.127,1.141,1.144,1.127,16734,1899005.0,1.51,1.42,0.016,0.0
2017-04-25,1.16,1.158,1.16,1.146,10570,1218296.0,1.23,1.49,0.017,0.0
2017-04-26,1.166,1.186,1.193,1.165,23783,2808555.0,2.42,2.42,0.028,0.01
2017-04-27,1.172,1.175,1.185,1.161,30301,3530209.0,2.02,-0.93,-0.011,0.01
2017-04-28,1.18,1.181,1.19,1.175,10650,1258058.0,1.28,0.51,0.006,0.0
2017-05-02,1.181,1.187,1.197,1.18,24843,2951116.0,1.44,0.51,0.006,0.01
2017-05-03,1.19,1.187,1.192,1.184,12715,1510013.0,0.67,0.0,0.0,0.0
2017-05-04,1.187,1.181,1.189,1.171,24213,2862023.0,1.52,-0.51,-0.006,0.01
2017-05-05,1.181,1.167,1.181,1.164,33776,3949100.0,1.44,-1.19,-0.014,0.01
2017-05-08,1.179,1.19,1.194,1.176,34050,4047863.0,1.54,1.97,0.023,0.01
2017-05-09,1.196,1.227,1.232,1.193,74771,9065837.0,3.28,3.11,0.037,0.02
2017-05-10,1.224,1.231,1.255,1.22,98258,12130651.0,2.85,0.33,0.004,0.03
2017-05-11,1.239,1.233,1.24,1.228,61661,7610903.0,0.97,0.16,0.002,0.02
2017-05-12,1.233,1.234,1.235,1.227,55208,6799505.0,0.65,0.08,0.001,0.02
2017-05-15,1.241,1.269,1.283,1.239,83414,10416017.0,3.57,2.84,0.035,0.02
2017-05-16,1.253,1.248,1.256,1.246,111416,13932951.0,0.79,-1.65,-0.021,0.03
2017-05-17,1.264,1.273,1.279,1.261,145411,18437140.0,1.44,2.0,0.025,0.04
2017-05-18,1.242,1.256,1.265,1.24,196427,24568047.0,1.96,-1.34,-0.017,0.05
2017-05-19,1.26,1.249,1.26,1.247,171529,21459048.0,1.04,-0.56,-0.007,0.05
2017-05-22,1.263,1.3,1.307,1.263,187146,24058127.0,3.52,4.08,0.051,0.05
2017-05-23,1.319,1.338,1.41,1.319,239892,32466868.0,7.0,2.92,0.038,0.07
2017-05-24,1.318,1.293,1.32,1.292,223842,29181736.0,2.09,-3.36,-0.045,0.06
2017-05-25,1.279,1.288,1.289,1.268,243387,31131626.0,1.62,-0.39,-0.005,0.07
2017-05-26,1.289,1.271,1.29,1.269,223827,28620164.0,1.63,-1.32,-0.017,0.06
2017-05-31,1.262,1.246,1.262,1.236,207679,25922853.0,2.05,-1.97,-0.025,0.06
2017-06-01,1.234,1.254,1.255,1.215,155395,19124109.0,3.21,0.64,0.008,0.04
2017-06-02,1.272,1.252,1.276,1.247,150692,19003393.0,2.31,-0.16,-0.002,0.04
2017-06-05,1.251,1.248,1.257,1.246,71006,8873980.0,0.88,-0.32,-0.004,0.02
2017-06-06,1.253,1.266,1.269,1.253,99168,12505597.0,1.28,1.44,0.018,0.03
2017-06-07,1.257,1.253,1.263,1.247,141894,17783822.0,1.26,-1.03,-0.013,0.04
