日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.395,1.417,1.421,1.395,1230374,173320908.0,1.87,1.65,0.023,0.4
2014-09-02,1.422,1.43,1.432,1.414,1350604,192252638.0,1.27,0.92,0.013,0.44
2014-09-03,1.428,1.439,1.443,1.422,1353607,193967677.0,1.47,0.63,0.009,0.44
2014-09-04,1.437,1.457,1.46,1.434,1117499,161679122.0,1.81,1.25,0.018,0.36
2014-09-05,1.456,1.46,1.466,1.442,1027087,148983501.0,1.65,0.21,0.003,0.33
2014-09-09,1.453,1.458,1.458,1.438,1329015,192853901.0,1.37,-0.14,-0.002,0.43
2014-09-10,1.454,1.467,1.469,1.447,1363599,198967909.0,1.51,0.62,0.009,0.44
2014-09-11,1.466,1.471,1.493,1.46,2196310,324219744.0,2.25,0.27,0.004,0.71
2014-09-12,1.469,1.483,1.486,1.463,1223789,180337400.0,1.56,0.82,0.012,0.39
2014-09-15,1.478,1.483,1.489,1.47,1252126,185482674.0,1.28,0.0,0.0,0.4
2014-09-16,1.485,1.438,1.49,1.432,1643378,240506297.0,3.91,-3.03,-0.045,0.53
2014-09-17,1.439,1.44,1.442,1.418,1753725,250719103.0,1.67,0.14,0.002,0.56
2014-09-18,1.439,1.456,1.457,1.433,1622086,234859549.0,1.67,1.11,0.016,0.52
2014-09-19,1.457,1.46,1.465,1.447,882396,128412429.0,1.24,0.27,0.004,0.28
2014-09-22,1.452,1.442,1.454,1.44,1239092,179188557.0,0.96,-1.23,-0.018,0.4
2014-09-23,1.442,1.461,1.464,1.442,1049934,152437481.0,1.53,1.32,0.019,0.34
2014-09-24,1.459,1.479,1.481,1.455,719672,105737234.0,1.78,1.23,0.018,0.23
2014-09-25,1.484,1.469,1.486,1.464,645671,95396887.0,1.49,-0.68,-0.01,0.21
2014-09-26,1.462,1.472,1.474,1.461,613749,90057096.0,0.88,0.2,0.003,0.2
2014-09-29,1.472,1.489,1.489,1.472,682812,101138999.0,1.15,1.15,0.017,0.22
2014-09-30,1.488,1.5,1.501,1.483,591021,88237801.0,1.21,0.74,0.011,0.19
2014-10-08,1.501,1.515,1.517,1.493,596334,89795214.0,1.6,1.0,0.015,0.19
2014-10-09,1.515,1.519,1.524,1.496,1037143,156802394.0,1.85,0.26,0.004,0.33
2014-10-10,1.513,1.512,1.52,1.502,918651,138626945.0,1.18,-0.46,-0.007,0.3
2014-10-13,1.502,1.505,1.508,1.484,1270657,189964918.0,1.59,-0.46,-0.007,0.41
2014-10-14,1.503,1.493,1.521,1.49,1408687,211929515.0,2.06,-0.8,-0.012,0.45
2014-10-15,1.493,1.502,1.505,1.483,937982,140253309.0,1.47,0.6,0.009,0.3
2014-10-16,1.492,1.482,1.51,1.481,906413,135782632.0,1.93,-1.33,-0.02,0.29
2014-10-17,1.482,1.47,1.488,1.441,1305246,191574962.0,3.17,-0.81,-0.012,0.42
2014-10-20,1.465,1.495,1.495,1.465,789582,117212892.0,2.04,1.7,0.025,0.25
2014-10-21,1.495,1.474,1.497,1.474,911274,135496773.0,1.54,-1.4,-0.021,0.29
2014-10-22,1.47,1.464,1.487,1.46,739403,108914413.0,1.83,-0.68,-0.01,0.24
2014-10-23,1.459,1.438,1.461,1.433,1142806,165007666.0,1.91,-1.78,-0.026,0.37
2014-10-24,1.439,1.441,1.455,1.435,830802,120114973.0,1.39,0.21,0.003,0.27
2014-10-27,1.438,1.453,1.453,1.429,875690,126234999.0,1.67,0.83,0.012,0.28
2014-10-28,1.456,1.483,1.485,1.455,972288,143030121.0,2.06,2.06,0.03,0.31
2014-10-29,1.488,1.489,1.494,1.481,658943,97997460.0,0.88,0.4,0.006,0.21
2014-10-30,1.489,1.481,1.497,1.479,573939,85495718.0,1.21,-0.54,-0.008,0.18
2014-10-31,1.481,1.473,1.486,1.462,898438,132111491.0,1.62,-0.54,-0.008,0.29
2014-11-03,1.475,1.491,1.493,1.471,1521726,225612054.0,1.49,1.22,0.018,0.49
2014-11-04,1.491,1.47,1.496,1.47,1206133,179213082.0,1.74,-1.41,-0.021,0.39
2014-11-05,1.471,1.471,1.479,1.464,1089532,160178015.0,1.02,0.07,0.001,0.35
2014-11-06,1.473,1.492,1.493,1.469,1318310,195168547.0,1.63,1.43,0.021,0.42
2014-11-07,1.49,1.477,1.503,1.476,1562924,233734686.0,1.81,-1.01,-0.015,0.5
2014-11-10,1.48,1.476,1.483,1.462,688923,101384235.0,1.42,-0.07,-0.001,0.22
2014-11-11,1.476,1.425,1.476,1.412,1039873,148817198.0,4.34,-3.46,-0.051,0.33
2014-11-12,1.423,1.44,1.441,1.418,1206082,172067125.0,1.61,1.05,0.015,0.39
2014-11-13,1.433,1.407,1.433,1.395,1989274,279956688.0,2.64,-2.29,-0.033,0.64
2014-11-14,1.4,1.406,1.414,1.397,1631300,229424843.0,1.21,-0.07,-0.001,0.53
2014-11-17,1.401,1.432,1.439,1.398,2288325,326672672.0,2.92,1.85,0.026,0.74
2014-11-18,1.43,1.441,1.445,1.425,2235199,321720192.0,1.4,0.63,0.009,0.72
2014-11-19,1.447,1.464,1.469,1.446,1893386,275761440.0,1.6,1.6,0.023,0.61
2014-11-20,1.458,1.451,1.459,1.425,893743,129761645.0,2.32,-0.89,-0.013,0.29
2014-11-21,1.45,1.462,1.467,1.45,1392309,203498311.0,1.17,0.76,0.011,0.45
2014-11-24,1.483,1.47,1.483,1.452,515242,75392554.0,2.12,0.55,0.008,0.17
2014-11-25,1.469,1.496,1.5,1.466,1763351,261623913.0,2.31,1.77,0.026,0.57
2014-11-26,1.495,1.51,1.516,1.495,996985,150000583.0,1.4,0.94,0.014,0.32
2014-11-27,1.508,1.518,1.52,1.498,925768,139983721.0,1.46,0.53,0.008,0.3
2014-11-28,1.517,1.524,1.537,1.505,1460914,222367063.0,2.11,0.4,0.006,0.47
2014-12-01,1.52,1.505,1.52,1.495,638226,96119966.0,1.64,-1.25,-0.019,0.21
2014-12-02,1.497,1.517,1.523,1.497,1008288,152795385.0,1.73,0.8,0.012,0.32
2014-12-03,1.517,1.559,1.56,1.486,3634521,557038864.0,4.88,2.77,0.042,1.17
2014-12-04,1.563,1.579,1.586,1.553,3579510,560879680.0,2.12,1.28,0.02,1.15
