日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,0.874,0.88,0.88,0.87,16440,1438079.0,1.15,1.15,0.01,0.0
2014-09-02,0.878,0.884,0.884,0.871,26424,2323934.0,1.48,0.45,0.004,0.01
2014-09-03,0.883,0.888,0.892,0.883,21129,1875715.0,1.02,0.45,0.004,0.0
2014-09-04,0.892,0.891,0.893,0.887,19186,1704351.0,0.68,0.34,0.003,0.0
2014-09-05,0.892,0.899,0.899,0.892,15745,1410587.0,0.79,0.9,0.008,0.0
2014-09-09,0.899,0.901,0.903,0.893,9714,874283.0,1.11,0.22,0.002,0.0
2014-09-10,0.896,0.897,0.9,0.896,4701,422402.0,0.44,-0.44,-0.004,0.0
2014-09-11,0.897,0.893,0.904,0.889,10820,972147.0,1.67,-0.45,-0.004,0.0
2014-09-12,0.891,0.896,0.896,0.888,5863,522080.0,0.9,0.34,0.003,0.0
2014-09-15,0.896,0.897,0.901,0.893,7429,665736.0,0.89,0.11,0.001,0.0
2014-09-16,0.898,0.883,0.903,0.879,12887,1152720.0,2.68,-1.56,-0.014,0.0
2014-09-17,0.88,0.892,0.892,0.879,12513,1105372.0,1.47,1.02,0.009,0.0
2014-09-18,0.891,0.904,0.905,0.891,87570,7905729.0,1.57,1.35,0.012,0.02
2014-09-19,0.904,0.911,0.912,0.9,13624,1236853.0,1.33,0.77,0.007,0.0
2014-09-22,0.905,0.899,0.908,0.898,25511,2308650.0,1.1,-1.32,-0.012,0.01
2014-09-23,0.9,0.912,0.916,0.896,73203,6618546.0,2.22,1.45,0.013,0.02
2014-09-24,0.901,0.915,0.92,0.9,17835,1625568.0,2.19,0.33,0.003,0.0
2014-09-25,0.918,0.91,0.921,0.91,13706,1257725.0,1.2,-0.55,-0.005,0.0
2014-09-26,0.905,0.912,0.919,0.904,1971,179438.0,1.65,0.22,0.002,0.0
2014-09-29,0.926,0.92,0.928,0.911,6417,588292.0,1.86,0.88,0.008,0.0
2014-09-30,0.92,0.927,0.93,0.918,15485,1429964.0,1.3,0.76,0.007,0.0
2014-10-08,0.923,0.966,0.968,0.923,41821,3987626.0,4.85,4.21,0.039,0.01
2014-10-09,0.968,0.958,0.969,0.946,40025,3828928.0,2.38,-0.83,-0.008,0.01
2014-10-10,0.942,0.958,0.96,0.942,9445,900691.0,1.88,0.0,0.0,0.0
2014-10-13,0.944,0.963,0.966,0.944,53098,5081161.0,2.3,0.52,0.005,0.01
2014-10-14,0.968,0.948,0.968,0.946,5968,568704.0,2.28,-1.56,-0.015,0.0
2014-10-15,0.947,0.975,0.979,0.945,49000,4758608.0,3.59,2.85,0.027,0.01
2014-10-16,0.976,0.966,1.002,0.965,89609,8869460.0,3.79,-0.92,-0.009,0.02
2014-10-17,0.966,0.963,0.969,0.95,9204,880762.0,1.97,-0.31,-0.003,0.0
2014-10-20,0.97,0.974,0.984,0.97,7972,775551.0,1.45,1.14,0.011,0.0
2014-10-21,0.97,0.96,0.97,0.957,16948,1628346.0,1.33,-1.44,-0.014,0.0
2014-10-22,0.96,0.943,0.96,0.94,4854,460653.0,2.08,-1.77,-0.017,0.0
