日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,100.24,100.33,100.352,100.24,96055,960726848.0,0.11,0.06,0.057,76.56
2014-09-02,100.31,100.296,100.429,100.28,65394,654299392.0,0.15,-0.03,-0.034,52.12
2014-09-03,100.305,100.275,100.351,100.262,84220,842273296.0,0.09,-0.02,-0.021,67.13
2014-09-04,100.275,100.254,100.297,100.241,101347,1013447280.0,0.06,-0.02,-0.021,80.78
2014-09-05,100.255,100.252,100.286,100.231,85248,852367520.0,0.05,0.0,-0.002,67.95
2014-09-09,100.272,100.281,100.365,100.254,76646,766395616.0,0.11,0.03,0.029,61.09
2014-09-10,100.287,100.216,100.307,100.18,71797,717843152.0,0.13,-0.06,-0.065,57.23
2014-09-11,100.215,100.204,100.26,100.182,75125,750794656.0,0.08,-0.01,-0.012,59.88
2014-09-12,100.219,100.182,100.236,100.16,120881,1208052784.0,0.08,-0.02,-0.022,96.35
2014-09-15,100.216,100.276,100.292,100.187,89115,890940304.0,0.1,0.09,0.094,71.03
2014-09-16,100.283,100.26,100.3,100.0,73769,737684224.0,0.3,-0.02,-0.016,58.8
2014-09-17,100.296,100.279,100.321,100.22,77640,776378912.0,0.1,0.02,0.019,61.88
2014-09-18,100.275,100.77,100.876,100.202,48211,482868432.0,0.67,0.49,0.491,38.43
2014-09-19,100.802,100.872,101.279,100.592,51442,517323168.0,0.68,0.1,0.102,41.0
2014-09-22,100.815,100.973,101.882,100.762,61123,615907712.0,1.11,0.1,0.101,48.72
2014-09-23,101.07,101.232,101.277,100.95,53528,540016272.0,0.32,0.26,0.259,42.66
2014-09-24,101.011,100.768,101.57,100.521,23474,236721642.0,1.04,-0.46,-0.464,18.71
2014-09-25,100.798,100.816,100.98,100.601,26382,265065233.0,0.38,0.05,0.048,21.03
2014-09-26,100.82,100.74,100.864,100.38,29654,297651872.0,0.48,-0.08,-0.076,23.64
2014-09-29,100.805,100.977,101.147,100.753,48536,488742320.0,0.39,0.24,0.237,38.69
2014-09-30,101.002,101.418,101.476,100.991,44050,445379856.0,0.48,0.44,0.441,35.11
2014-10-08,102.08,101.359,102.263,100.38,25722,260023504.0,1.86,-0.06,-0.059,20.5
2014-10-09,101.36,101.392,101.51,101.3,69352,701296896.0,0.21,0.03,0.033,55.28
2014-10-10,101.409,101.348,101.75,100.58,84732,857332768.0,1.15,-0.04,-0.044,67.54
2014-10-13,101.399,101.433,101.679,101.38,54838,555257952.0,0.3,0.08,0.085,43.71
2014-10-14,101.46,102.136,102.27,101.46,19762,201272345.0,0.8,0.69,0.703,15.75
2014-10-15,102.33,102.508,102.854,102.28,22952,234615995.0,0.56,0.36,0.372,18.29
2014-10-16,102.493,102.811,102.876,102.493,57697,590953104.0,0.37,0.3,0.303,45.99
2014-10-17,102.58,103.08,103.179,102.58,33762,346830880.0,0.58,0.26,0.269,26.91
2014-10-20,103.12,103.256,103.89,103.002,51646,532993216.0,0.86,0.17,0.176,41.16
