日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.136,1.143,1.15,1.136,2763,316457.0,1.23,0.62,0.007,0.0
2014-09-02,1.145,1.149,1.15,1.136,9453,1078512.0,1.22,0.52,0.006,0.01
2014-09-03,1.144,1.167,1.167,1.142,9771,1133148.0,2.18,1.57,0.018,0.01
2014-09-04,1.175,1.167,1.175,1.163,6831,796336.0,1.03,0.0,0.0,0.0
2014-09-05,1.167,1.165,1.169,1.16,8510,990036.0,0.77,-0.17,-0.002,0.01
2014-09-09,1.165,1.162,1.165,1.16,5718,663860.0,0.43,-0.26,-0.003,0.0
2014-09-10,1.156,1.142,1.156,1.142,7348,842439.0,1.2,-1.72,-0.02,0.0
2014-09-11,1.141,1.137,1.145,1.136,8725,994575.0,0.79,-0.44,-0.005,0.01
2014-09-12,1.14,1.141,1.143,1.134,8425,958937.0,0.79,0.35,0.004,0.01
2014-09-15,1.14,1.131,1.14,1.125,7994,903779.0,1.31,-0.88,-0.01,0.01
2014-09-16,1.13,1.121,1.13,1.121,3790,426695.0,0.8,-0.88,-0.01,0.0
2014-09-17,1.13,1.132,1.134,1.128,5994,678214.0,0.54,0.98,0.011,0.0
2014-09-18,1.127,1.121,1.127,1.12,12249,1374536.0,0.62,-0.97,-0.011,0.01
2014-09-19,1.125,1.134,1.135,1.125,14526,1639116.0,0.89,1.16,0.013,0.01
2014-09-22,1.134,1.116,1.134,1.114,6793,759223.0,1.76,-1.59,-0.018,0.0
2014-09-23,1.116,1.115,1.116,1.11,8243,916804.0,0.54,-0.09,-0.001,0.01
2014-09-24,1.111,1.113,1.114,1.107,19638,2182145.0,0.63,-0.18,-0.002,0.01
2014-09-25,1.117,1.108,1.118,1.108,11128,1240487.0,0.9,-0.45,-0.005,0.01
2014-09-26,1.098,1.102,1.104,1.096,7073,777641.0,0.72,-0.54,-0.006,0.0
2014-09-29,1.101,1.093,1.103,1.085,20689,2256344.0,1.63,-0.82,-0.009,0.01
2014-09-30,1.086,1.095,1.099,1.086,21371,2331912.0,1.19,0.18,0.002,0.01
2014-10-08,1.105,1.102,1.105,1.095,26004,2859749.0,0.91,0.64,0.007,0.02
2014-10-09,1.108,1.128,1.137,1.107,21175,2367430.0,2.72,2.36,0.026,0.01
2014-10-10,1.117,1.102,1.118,1.079,41371,4522517.0,3.46,-2.3,-0.026,0.03
2014-10-13,1.092,1.078,1.092,1.067,39095,4199602.0,2.27,-2.18,-0.024,0.02
