日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.111,1.111,1.114,1.11,3637,404240.0,0.36,0.36,0.004,0.01
2014-09-02,1.111,1.116,1.116,1.111,7940,884480.0,0.45,0.45,0.005,0.01
2014-09-03,1.113,1.112,1.115,1.111,13233,1471180.0,0.36,-0.36,-0.004,0.02
2014-09-04,1.11,1.109,1.112,1.109,13291,1475326.0,0.27,-0.27,-0.003,0.02
2014-09-05,1.11,1.108,1.11,1.107,6748,747502.0,0.27,-0.09,-0.001,0.01
2014-09-09,1.107,1.107,1.113,1.107,4604,510214.0,0.54,-0.09,-0.001,0.01
2014-09-10,1.1,1.102,1.104,1.1,5466,602568.0,0.36,-0.45,-0.005,0.01
2014-09-11,1.102,1.102,1.106,1.102,5918,652893.0,0.36,0.0,0.0,0.01
2014-09-12,1.102,1.107,1.108,1.102,7163,792452.0,0.54,0.45,0.005,0.01
2014-09-15,1.102,1.102,1.103,1.1,5932,653232.0,0.27,-0.45,-0.005,0.01
2014-09-16,1.101,1.096,1.101,1.096,4581,502687.0,0.45,-0.54,-0.006,0.01
2014-09-17,1.097,1.106,1.107,1.097,4287,474001.0,0.91,0.91,0.01,0.01
2014-09-18,1.109,1.107,1.109,1.106,4070,450813.0,0.27,0.09,0.001,0.01
2014-09-19,1.114,1.118,1.118,1.113,9250,1032068.0,0.45,0.99,0.011,0.01
2014-09-22,1.118,1.113,1.118,1.112,1920,213885.0,0.54,-0.45,-0.005,0.0
2014-09-23,1.107,1.105,1.107,1.102,3696,407831.0,0.45,-0.72,-0.008,0.01
2014-09-24,1.101,1.099,1.101,1.095,8407,922039.0,0.54,-0.54,-0.006,0.01
2014-09-25,1.105,1.105,1.106,1.103,6534,721270.0,0.27,0.55,0.006,0.01
2014-09-26,1.096,1.088,1.096,1.088,5986,653274.0,0.72,-1.54,-0.017,0.01
2014-09-29,1.095,1.098,1.1,1.095,8633,947299.0,0.46,0.92,0.01,0.01
2014-09-30,1.098,1.098,1.098,1.093,11897,1304162.0,0.46,0.0,0.0,0.02
2014-10-08,1.088,1.076,1.088,1.073,13997,1505913.0,1.37,-2.0,-0.022,0.02
2014-10-09,1.088,1.096,1.097,1.088,16390,1794812.0,0.84,1.86,0.02,0.02
2014-10-10,1.079,1.074,1.079,1.069,15622,1676042.0,0.91,-2.01,-0.022,0.02
2014-10-13,1.062,1.06,1.062,1.056,18308,1936638.0,0.56,-1.3,-0.014,0.03
2014-10-14,1.05,1.051,1.052,1.041,44729,4686666.0,1.04,-0.85,-0.009,0.06
2014-10-15,1.05,1.049,1.05,1.044,9343,978366.0,0.57,-0.19,-0.002,0.01
2014-10-16,1.048,1.039,1.048,1.033,28038,2906092.0,1.43,-0.95,-0.01,0.04
2014-10-17,1.05,1.04,1.05,1.037,18583,1932016.0,1.25,0.1,0.001,0.03
2014-10-20,1.051,1.05,1.051,1.048,14610,1533199.0,0.29,0.96,0.01,0.02
2014-10-21,1.059,1.057,1.059,1.055,20242,2138817.0,0.38,0.67,0.007,0.03
2014-10-22,1.076,1.078,1.079,1.072,27751,2985667.0,0.66,1.99,0.021,0.04
2014-10-23,1.07,1.072,1.073,1.069,12930,1385467.0,0.37,-0.56,-0.006,0.02
2014-10-24,1.082,1.078,1.085,1.077,4645,500935.0,0.75,0.56,0.006,0.01
2014-10-27,1.085,1.088,1.092,1.08,9283,1010761.0,1.11,0.93,0.01,0.01
2014-10-28,1.087,1.088,1.09,1.086,5085,553298.0,0.37,0.0,0.0,0.01
2014-10-29,1.091,1.093,1.096,1.091,16541,1809407.0,0.46,0.46,0.005,0.02
2014-10-30,1.093,1.092,1.096,1.092,7796,852434.0,0.37,-0.09,-0.001,0.01
2014-10-31,1.095,1.107,1.11,1.095,22691,2502461.0,1.37,1.37,0.015,0.03
2014-11-03,1.107,1.116,1.118,1.107,9826,1096256.0,0.99,0.81,0.009,0.01
2014-11-04,1.114,1.113,1.116,1.112,4830,537727.0,0.36,-0.27,-0.003,0.01
2014-11-05,1.11,1.113,1.114,1.11,4864,541199.0,0.36,0.0,0.0,0.01
2014-11-06,1.116,1.117,1.12,1.116,7780,869386.0,0.36,0.36,0.004,0.01
2014-11-07,1.12,1.125,1.125,1.12,7810,877487.0,0.45,0.72,0.008,0.01
2014-11-10,1.124,1.122,1.126,1.122,13413,1507202.0,0.36,-0.27,-0.003,0.02
2014-11-11,1.122,1.129,1.13,1.122,7803,880315.0,0.71,0.62,0.007,0.01
2014-11-12,1.129,1.126,1.129,1.124,1550,174454.0,0.44,-0.27,-0.003,0.0
2014-11-13,1.124,1.123,1.127,1.123,6449,725219.0,0.36,-0.27,-0.003,0.01
2014-11-14,1.123,1.123,1.125,1.122,14149,1589793.0,0.27,0.0,0.0,0.02
2014-11-17,1.123,1.119,1.127,1.119,9279,1040373.0,0.71,-0.36,-0.004,0.01
2014-11-18,1.121,1.123,1.125,1.121,5753,646001.0,0.36,0.36,0.004,0.01
2014-11-19,1.124,1.132,1.133,1.124,10869,1229642.0,0.8,0.8,0.009,0.02
2014-11-20,1.128,1.127,1.129,1.127,4167,469925.0,0.18,-0.44,-0.005,0.01
2014-11-21,1.129,1.13,1.131,1.129,6207,701319.0,0.18,0.27,0.003,0.01
2014-11-24,1.136,1.127,1.137,1.127,21934,2482902.0,0.88,-0.27,-0.003,0.03
2014-11-25,1.127,1.136,1.14,1.127,8454,960335.0,1.15,0.8,0.009,0.01
2014-11-26,1.137,1.137,1.138,1.135,3353,381202.0,0.26,0.09,0.001,0.0
2014-11-27,1.14,1.139,1.141,1.139,3947,449743.0,0.18,0.18,0.002,0.01
2014-11-28,1.14,1.139,1.142,1.139,7283,830066.0,0.26,0.0,0.0,0.01
2014-12-01,1.137,1.132,1.138,1.131,8919,1011834.0,0.61,-0.61,-0.007,0.01
2014-12-02,1.128,1.127,1.13,1.126,9702,1094796.0,0.35,-0.44,-0.005,0.01
2014-12-03,1.13,1.134,1.137,1.13,14607,1655897.0,0.62,0.62,0.007,0.02
2014-12-04,1.135,1.139,1.142,1.135,7194,819066.0,0.62,0.44,0.005,0.01
2014-12-05,1.136,1.136,1.139,1.132,14882,1689355.0,0.61,-0.26,-0.003,0.02
2014-12-08,1.141,1.141,1.143,1.139,5409,617247.0,0.35,0.44,0.005,0.01
2014-12-09,1.132,1.13,1.133,1.13,8931,1010334.0,0.26,-0.96,-0.011,0.01
2014-12-10,1.135,1.133,1.135,1.13,6232,705762.0,0.44,0.27,0.003,0.01
2014-12-11,1.1,1.115,1.115,1.1,10458,1158806.0,1.32,-1.59,-0.018,0.01
2014-12-12,1.12,1.107,1.12,1.106,32662,3629455.0,1.26,-0.72,-0.008,0.05
2014-12-15,1.092,1.1,1.1,1.092,13401,1470839.0,0.72,-0.63,-0.007,0.02
2014-12-16,1.093,1.094,1.094,1.09,18245,1993721.0,0.36,-0.55,-0.006,0.03
2014-12-17,1.088,1.083,1.09,1.082,18998,2057972.0,0.73,-1.01,-0.011,0.03
2014-12-18,1.099,1.109,1.109,1.099,10559,1168862.0,0.92,2.4,0.026,0.02
2014-12-19,1.136,1.137,1.138,1.133,12885,1463607.0,0.45,2.52,0.028,0.02
2014-12-22,1.14,1.14,1.141,1.138,12893,1468921.0,0.26,0.26,0.003,0.02
2014-12-23,1.152,1.146,1.152,1.143,5645,646452.0,0.79,0.53,0.006,0.01
2014-12-24,1.153,1.15,1.153,1.147,10370,1192524.0,0.52,0.35,0.004,0.01
2014-12-25,1.151,1.146,1.151,1.145,1452,166814.0,0.52,-0.35,-0.004,0.0
2014-12-26,1.152,1.146,1.152,1.143,7703,882142.0,0.79,0.0,0.0,0.01
2014-12-29,1.146,1.152,1.153,1.146,16949,1950924.0,0.61,0.52,0.006,0.02
2014-12-30,1.15,1.149,1.152,1.148,5198,597459.0,0.35,-0.26,-0.003,0.01
2014-12-31,1.14,1.148,1.148,1.14,6697,767446.0,0.7,-0.09,-0.001,0.01
2015-01-05,1.14,1.134,1.14,1.133,18312,2076991.0,0.61,-1.22,-0.014,0.03
2015-01-06,1.118,1.114,1.118,1.11,16791,1865937.0,0.71,-1.76,-0.02,0.02
2015-01-07,1.113,1.108,1.113,1.103,35035,3878815.0,0.9,-0.54,-0.006,0.05
2015-01-08,1.123,1.128,1.128,1.119,37804,4250643.0,0.81,1.81,0.02,0.05
2015-01-09,1.14,1.143,1.145,1.14,28379,3243374.0,0.44,1.33,0.015,0.04
2015-01-12,1.143,1.134,1.143,1.129,18450,2092078.0,1.22,-0.79,-0.009,0.03
2015-01-13,1.129,1.122,1.129,1.119,14010,1572214.0,0.88,-1.06,-0.012,0.02
2015-01-14,1.123,1.117,1.123,1.116,16125,1801544.0,0.62,-0.45,-0.005,0.02
2015-01-15,1.115,1.116,1.116,1.111,20123,2240306.0,0.45,-0.09,-0.001,0.03
2015-01-16,1.108,1.112,1.114,1.101,43548,4819628.0,1.16,-0.36,-0.004,0.06
2015-01-19,1.119,1.116,1.125,1.115,62662,7005560.0,0.9,0.36,0.004,0.09
2015-01-20,1.119,1.119,1.12,1.116,27376,3059980.0,0.36,0.27,0.003,0.04
2015-01-21,1.12,1.123,1.124,1.116,48367,5413111.0,0.71,0.36,0.004,0.07
2015-01-22,1.124,1.133,1.136,1.123,94706,10706071.0,1.16,0.89,0.01,0.14
2015-01-23,1.159,1.152,1.185,1.148,167192,19311854.0,3.27,1.68,0.019,0.24
2015-01-26,1.151,1.137,1.151,1.135,64038,7287594.0,1.39,-1.3,-0.015,0.09
2015-01-27,1.139,1.141,1.143,1.139,213533,24364392.0,0.35,0.35,0.004,0.31
2015-01-28,1.127,1.129,1.13,1.124,179273,20180867.0,0.53,-1.05,-0.012,0.26
