日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,2.464,2.475,2.477,2.461,5255470,1254769952.0,0.65,0.45,0.011,0.94
2014-09-02,2.477,2.511,2.517,2.471,7328856,1761457424.0,1.86,1.45,0.036,1.32
2014-09-03,2.518,2.534,2.542,2.517,5170651,1267476864.0,1.0,0.92,0.023,0.93
2014-09-04,2.537,2.557,2.558,2.531,4312598,1061497584.0,1.07,0.91,0.023,0.77
2014-09-05,2.565,2.581,2.585,2.558,6407412,1595146464.0,1.06,0.94,0.024,1.15
2014-09-09,2.582,2.575,2.583,2.566,3962326,988107840.0,0.66,-0.23,-0.006,0.71
2014-09-10,2.558,2.559,2.562,2.547,5310511,1314486432.0,0.58,-0.62,-0.016,0.95
2014-09-11,2.559,2.545,2.595,2.538,7222658,1792262752.0,2.23,-0.55,-0.014,1.3
2014-09-12,2.545,2.565,2.565,2.536,5116386,1262555872.0,1.14,0.79,0.02,0.92
2014-09-15,2.551,2.558,2.563,2.542,6564734,1622379520.0,0.82,-0.27,-0.007,1.18
2014-09-16,2.567,2.515,2.571,2.512,6259853,1546780000.0,2.31,-1.68,-0.043,1.12
2014-09-17,2.526,2.523,2.53,2.509,5165644,1260590976.0,0.83,0.32,0.008,0.93
2014-09-18,2.521,2.533,2.538,2.513,8462794,2070466544.0,0.99,0.4,0.01,1.52
2014-09-19,2.533,2.553,2.561,2.53,7218657,1776588032.0,1.22,0.79,0.02,1.3
2014-09-22,2.545,2.501,2.545,2.497,6310352,1538269152.0,1.88,-2.04,-0.052,1.13
2014-09-23,2.504,2.526,2.53,2.504,6642956,1618846704.0,1.04,1.0,0.025,1.19
2014-09-24,2.516,2.573,2.578,2.509,10530459,2600157344.0,2.73,1.86,0.047,1.89
2014-09-25,2.581,2.56,2.595,2.553,11766577,2937912960.0,1.63,-0.51,-0.013,2.11
2014-09-26,2.56,2.561,2.567,2.543,7014042,1736331360.0,0.94,0.04,0.001,1.26
2014-09-29,2.56,2.572,2.574,2.556,7302410,1814938048.0,0.7,0.43,0.011,1.31
2014-09-30,2.571,2.572,2.58,2.563,5853169,1458106784.0,0.66,0.0,0.0,1.05
2014-10-08,2.579,2.599,2.601,2.565,8155297,2039984000.0,1.4,1.05,0.027,1.46
2014-10-09,2.603,2.6,2.61,2.586,6124161,1543374976.0,0.92,0.04,0.001,1.1
2014-10-10,2.587,2.588,2.602,2.578,6974428,1750510080.0,0.92,-0.46,-0.012,1.25
2014-10-13,2.577,2.574,2.58,2.548,6893526,1710794496.0,1.24,-0.54,-0.014,1.24
2014-10-14,2.572,2.565,2.586,2.559,7137541,1779253568.0,1.05,-0.35,-0.009,1.28
2014-10-15,2.564,2.581,2.586,2.552,5035691,1252644976.0,1.33,0.62,0.016,0.9
2014-10-16,2.57,2.572,2.6,2.562,5907808,1476957152.0,1.47,-0.35,-0.009,1.06
2014-10-17,2.572,2.561,2.578,2.537,7260138,1798229152.0,1.59,-0.43,-0.011,1.3
2014-10-20,2.566,2.572,2.573,2.56,5267684,1310533024.0,0.51,0.43,0.011,0.95
2014-10-21,2.572,2.556,2.579,2.554,5479022,1361900224.0,0.97,-0.62,-0.016,0.98
2014-10-22,2.556,2.542,2.567,2.541,6098877,1508038960.0,1.02,-0.55,-0.014,1.1
2014-10-23,2.541,2.516,2.546,2.515,7750312,1900925504.0,1.22,-1.02,-0.026,1.39
2014-10-24,2.517,2.514,2.525,2.511,5816380,1417554000.0,0.56,-0.08,-0.002,1.04
2014-10-27,2.504,2.491,2.504,2.481,6444636,1553008720.0,0.91,-0.91,-0.023,1.16
2014-10-28,2.496,2.539,2.54,2.494,7081639,1721206304.0,1.85,1.93,0.048,1.27
2014-10-29,2.544,2.57,2.585,2.536,9098717,2248880880.0,1.93,1.22,0.031,1.63
2014-10-30,2.57,2.585,2.591,2.565,8426431,2102347968.0,1.01,0.58,0.015,1.51
2014-10-31,2.592,2.635,2.638,2.59,7323907,1854248064.0,1.86,1.93,0.05,1.32
2014-11-03,2.636,2.63,2.642,2.623,6135851,1567749184.0,0.72,-0.19,-0.005,1.1
2014-11-04,2.624,2.628,2.633,2.619,5776701,1470642848.0,0.53,-0.08,-0.002,1.04
2014-11-05,2.635,2.625,2.641,2.618,5502652,1400953472.0,0.88,-0.11,-0.003,0.99
2014-11-06,2.628,2.626,2.633,2.602,7252257,1843076704.0,1.18,0.04,0.001,1.3
2014-11-07,2.627,2.621,2.663,2.608,8261054,2108778576.0,2.09,-0.19,-0.005,1.48
2014-11-10,2.632,2.692,2.693,2.631,6772235,1742567024.0,2.37,2.71,0.071,1.22
2014-11-11,2.696,2.675,2.719,2.655,8693651,2271677280.0,2.38,-0.63,-0.017,1.56
2014-11-12,2.672,2.713,2.714,2.664,5575938,1450145040.0,1.87,1.42,0.038,1.0
2014-11-13,2.712,2.698,2.721,2.689,11701384,3068184432.0,1.18,-0.55,-0.015,2.1
2014-11-14,2.691,2.701,2.701,2.678,5247876,1368618640.0,0.85,0.11,0.003,0.94
2014-11-17,2.731,2.69,2.738,2.69,6877928,1806762176.0,1.78,-0.41,-0.011,1.24
2014-11-18,2.689,2.662,2.689,2.656,5918561,1533084640.0,1.23,-1.04,-0.028,1.06
2014-11-19,2.661,2.654,2.667,2.648,6915317,1782400736.0,0.71,-0.3,-0.008,1.24
2014-11-20,2.647,2.658,2.663,2.636,5993678,1539629488.0,1.02,0.15,0.004,1.08
2014-11-21,2.658,2.707,2.71,2.649,10309708,2672090480.0,2.29,1.84,0.049,1.85
2014-11-24,2.731,2.782,2.801,2.727,13277667,3558361664.0,2.73,2.77,0.075,2.39
2014-11-25,2.778,2.81,2.815,2.773,12741722,3453210768.0,1.51,1.01,0.028,2.29
2014-11-26,2.814,2.84,2.841,2.814,11842240,3250517984.0,0.96,1.07,0.03,2.13
2014-11-27,2.848,2.865,2.867,2.837,14180400,3926209680.0,1.06,0.88,0.025,2.55
