日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-02-28,1.006,1.008,1.01,1.004,3809837,383682832.0,0.6,0.0,0.0,25.31
2017-03-01,1.008,1.008,1.01,1.006,595371,60050497.0,0.4,0.0,0.0,3.96
2017-03-02,1.011,1.005,1.109,1.004,185348,18813084.0,10.42,-0.3,-0.003,1.23
2017-03-03,1.004,1.008,1.008,0.999,138306,13903443.0,0.9,0.3,0.003,0.92
2017-03-06,1.008,1.016,1.017,1.008,274021,27780965.0,0.89,0.79,0.008,1.82
2017-03-07,1.015,1.016,1.017,1.012,77239,7838194.0,0.49,0.0,0.0,0.51
2017-03-08,1.015,1.013,1.015,1.01,40989,4150984.0,0.49,-0.3,-0.003,0.27
2017-03-09,1.01,1.006,1.013,1.005,43754,4409088.0,0.79,-0.69,-0.007,0.29
2017-03-10,1.006,1.009,1.01,1.005,45240,4559519.0,0.5,0.3,0.003,0.3
2017-03-13,1.009,1.014,1.015,1.002,118231,11964014.0,1.29,0.5,0.005,0.79
2017-03-14,1.015,1.014,1.018,1.013,62202,6317835.0,0.49,0.0,0.0,0.41
2017-03-15,1.012,1.017,1.018,1.011,82854,8414728.0,0.69,0.3,0.003,0.55
2017-03-16,1.019,1.026,1.026,1.019,120452,12324001.0,0.69,0.88,0.009,0.8
2017-03-17,1.026,1.017,1.028,1.017,53863,5524143.0,1.07,-0.88,-0.009,0.36
2017-03-20,1.019,1.022,1.024,1.019,24319,2482186.0,0.49,0.49,0.005,0.16
2017-03-21,1.021,1.027,1.029,1.021,44201,4535256.0,0.78,0.49,0.005,0.29
2017-03-22,1.024,1.026,1.029,1.02,41662,4263447.0,0.88,-0.1,-0.001,0.28
2017-03-23,1.025,1.028,1.03,1.02,42719,4379881.0,0.97,0.19,0.002,0.28
2017-03-24,1.025,1.032,1.034,1.025,64369,6632964.0,0.88,0.39,0.004,0.43
2017-03-27,1.035,1.029,1.037,1.029,31928,3298032.0,0.78,-0.29,-0.003,0.21
2017-03-28,1.029,1.028,1.03,1.024,28578,2934154.0,0.58,-0.1,-0.001,0.19
2017-03-29,1.036,1.022,1.036,1.021,19783,2027194.0,1.46,-0.58,-0.006,0.13
2017-03-30,1.02,1.01,1.022,1.006,22044,2233416.0,1.57,-1.17,-0.012,0.15
2017-03-31,1.01,1.014,1.015,1.01,13206,1336283.0,0.5,0.4,0.004,0.09
2017-04-05,1.021,1.04,1.04,1.021,67713,7017681.0,1.87,2.56,0.026,0.45
2017-04-06,1.046,1.043,1.046,1.04,77404,8073771.0,0.58,0.29,0.003,0.51
2017-04-07,1.043,1.054,1.06,1.039,88138,9275126.0,2.01,1.05,0.011,0.59
2017-04-10,1.056,1.055,1.062,1.054,48331,5114865.0,0.76,0.09,0.001,0.32
2017-04-11,1.059,1.068,1.068,1.05,115580,12279290.0,1.71,1.23,0.013,0.77
2017-04-12,1.065,1.05,1.065,1.05,38629,4088880.0,1.4,-1.69,-0.018,0.26
2017-04-13,1.047,1.067,1.074,1.047,100417,10721960.0,2.57,1.62,0.017,0.67
2017-04-14,1.063,1.056,1.069,1.054,42098,4466396.0,1.41,-1.03,-0.011,0.28
2017-04-17,1.055,1.046,1.055,1.042,32089,3365711.0,1.23,-0.95,-0.01,0.21
2017-04-18,1.048,1.042,1.054,1.04,19602,2054068.0,1.34,-0.38,-0.004,0.13
2017-04-19,1.039,1.037,1.039,1.022,35502,3653166.0,1.63,-0.48,-0.005,0.24
2017-04-20,1.036,1.034,1.042,1.028,22660,2352304.0,1.35,-0.29,-0.003,0.15
2017-04-21,1.035,1.026,1.039,1.024,17652,1814896.0,1.45,-0.77,-0.008,0.12
2017-04-24,1.025,1.002,1.025,1.001,35987,3627621.0,2.34,-2.34,-0.024,0.24
2017-04-25,1.004,1.002,1.03,0.998,31276,3145145.0,3.19,0.0,0.0,0.21
2017-04-26,1.002,1.013,1.014,1.002,34107,3441774.0,1.2,1.1,0.011,0.23
2017-04-27,1.014,1.024,1.026,1.002,19585,1984963.0,2.37,1.09,0.011,0.13
2017-04-28,1.022,1.028,1.029,1.019,22481,2305728.0,0.98,0.39,0.004,0.15
2017-05-02,1.023,1.027,1.028,1.019,30993,3172554.0,0.88,-0.1,-0.001,0.21
2017-05-03,1.027,1.021,1.029,1.015,13901,1421679.0,1.36,-0.58,-0.006,0.09
2017-05-04,1.018,1.023,1.036,1.014,21090,2164579.0,2.15,0.2,0.002,0.14
2017-05-05,1.016,1.009,1.019,1.009,20762,2101949.0,0.98,-1.37,-0.014,0.14
2017-05-08,1.011,0.982,1.011,0.982,39096,3893111.0,2.87,-2.68,-0.027,0.26
2017-05-09,0.985,0.987,0.989,0.97,10513,1029847.0,1.93,0.51,0.005,0.07
2017-05-10,0.979,0.974,0.993,0.972,13962,1367845.0,2.13,-1.32,-0.013,0.09
2017-05-11,0.97,0.97,0.986,0.95,31370,3012247.0,3.7,-0.41,-0.004,0.21
2017-05-12,0.975,0.974,0.978,0.965,10566,1029466.0,1.34,0.41,0.004,0.07
2017-05-15,0.985,0.978,0.985,0.977,5178,507337.0,0.82,0.41,0.004,0.03
2017-05-16,0.979,1.001,1.001,0.972,12732,1258196.0,2.97,2.35,0.023,0.08
2017-05-17,0.998,1.003,1.009,0.998,14727,1479752.0,1.1,0.2,0.002,0.1
2017-05-18,1.0,0.997,1.006,0.99,12940,1292095.0,1.6,-0.6,-0.006,0.09
2017-05-19,0.998,0.994,0.998,0.989,14800,1468402.0,0.9,-0.3,-0.003,0.1
2017-05-22,0.991,0.976,0.992,0.973,16165,1586180.0,1.91,-1.81,-0.018,0.11
2017-05-23,0.977,0.956,0.988,0.954,17111,1651146.0,3.48,-2.05,-0.02,0.11
2017-05-24,0.961,0.961,0.961,0.938,15708,1490675.0,2.41,0.52,0.005,0.1
2017-05-25,0.959,0.965,0.968,0.949,12029,1151947.0,1.98,0.42,0.004,0.08
2017-05-26,0.965,0.963,0.972,0.96,10713,1035169.0,1.24,-0.21,-0.002,0.07
2017-05-31,0.964,0.96,0.975,0.96,11542,1115564.0,1.56,-0.31,-0.003,0.08
2017-06-01,0.958,0.942,0.958,0.941,11315,1074457.0,1.77,-1.88,-0.018,0.08
2017-06-02,0.942,0.95,0.952,0.933,15813,1489372.0,2.02,0.85,0.008,0.11
2017-06-05,0.952,0.959,0.96,0.951,12249,1172287.0,0.95,0.95,0.009,0.08
2017-06-06,0.958,0.962,0.964,0.958,5536,531537.0,0.63,0.31,0.003,0.04
2017-06-07,0.963,0.98,0.982,0.963,17496,1705952.0,1.98,1.87,0.018,0.12
2017-06-08,0.978,0.98,0.982,0.975,26932,2637725.0,0.71,0.0,0.0,0.18
2017-06-09,0.979,0.978,0.98,0.97,5489,534840.0,1.02,-0.2,-0.002,0.04
2017-06-12,0.978,0.968,0.978,0.966,9689,940516.0,1.23,-1.02,-0.01,0.06
2017-06-13,0.968,0.979,0.979,0.96,22694,2206017.0,1.96,1.14,0.011,0.15
2017-06-14,0.979,0.975,0.981,0.974,2300,224540.0,0.72,-0.41,-0.004,0.02
2017-06-15,0.976,0.98,0.984,0.974,10798,1058511.0,1.03,0.51,0.005,0.07
2017-06-16,0.981,0.983,0.984,0.977,4313,423202.0,0.71,0.31,0.003,0.03
2017-06-19,0.983,0.988,0.988,0.981,2764,271991.0,0.71,0.51,0.005,0.02
2017-06-20,0.988,0.994,0.997,0.988,9141,908725.0,0.91,0.61,0.006,0.06
2017-06-21,0.995,0.992,0.996,0.985,8373,827817.0,1.11,-0.2,-0.002,0.06
2017-06-22,0.993,0.978,0.996,0.977,6449,636062.0,1.92,-1.41,-0.014,0.04
2017-06-23,0.978,0.978,0.981,0.966,10156,988587.0,1.53,0.0,0.0,0.07
2017-06-26,0.981,0.995,0.995,0.98,10103,998450.0,1.53,1.74,0.017,0.07
2017-06-27,0.994,0.991,0.998,0.989,24983,2479794.0,0.9,-0.4,-0.004,0.17
2017-06-28,0.991,0.986,0.991,0.983,6874,677874.0,0.81,-0.5,-0.005,0.05
2017-06-29,0.983,0.988,0.991,0.983,1502,148595.0,0.81,0.2,0.002,0.01
2017-06-30,0.988,0.99,0.991,0.982,2903,286541.0,0.91,0.2,0.002,0.02
2017-07-03,0.991,0.996,0.998,0.989,12858,1277535.0,0.91,0.61,0.006,0.09
2017-07-04,0.997,0.997,0.999,0.993,10526,1048429.0,0.6,0.1,0.001,0.07
2017-07-05,0.997,0.999,1.0,0.992,7481,745964.0,0.8,0.2,0.002,0.05
2017-07-06,0.999,1.004,1.008,0.995,16847,1692060.0,1.3,0.5,0.005,0.11
2017-07-07,1.004,1.005,1.007,1.0,8397,842988.0,0.7,0.1,0.001,0.06
2017-07-10,1.007,0.999,1.007,0.996,6745,674461.0,1.09,-0.6,-0.006,0.04
2017-07-11,0.999,0.986,0.999,0.985,10517,1043478.0,1.4,-1.3,-0.013,0.07
2017-07-12,0.987,0.986,0.99,0.97,10449,1022798.0,2.03,0.0,0.0,0.07
2017-07-13,0.98,0.983,0.988,0.98,5849,574818.0,0.81,-0.3,-0.003,0.04
2017-07-14,0.984,0.978,0.984,0.975,11565,1129966.0,0.92,-0.51,-0.005,0.08
2017-07-17,0.978,0.94,0.978,0.933,50771,4785029.0,4.6,-3.89,-0.038,0.34
2017-07-18,0.937,0.938,0.939,0.925,14529,1355065.0,1.49,-0.21,-0.002,0.1
2017-07-19,0.939,0.952,0.952,0.936,8267,780171.0,1.71,1.49,0.014,0.05
2017-07-20,0.955,0.958,0.966,0.955,14259,1372185.0,1.16,0.63,0.006,0.09
2017-07-21,0.959,0.962,0.964,0.959,5091,489979.0,0.52,0.42,0.004,0.03
2017-07-24,0.963,0.965,0.966,0.959,3166,305227.0,0.73,0.31,0.003,0.02
2017-07-25,0.965,0.957,0.965,0.953,5725,548401.0,1.24,-0.83,-0.008,0.04
2017-07-26,0.957,0.958,0.963,0.953,12634,1206381.0,1.04,0.1,0.001,0.08
2017-07-27,0.959,0.968,0.969,0.955,12173,1176525.0,1.46,1.04,0.01,0.08
2017-07-28,0.958,0.972,0.974,0.958,5383,522465.0,1.65,0.41,0.004,0.04
2017-07-31,0.973,0.979,0.979,0.969,5945,579796.0,1.03,0.72,0.007,0.04
