日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-09-01,1.34,1.345,1.347,1.34,8539,1148955.0,0.52,0.67,0.009,0.01
2014-09-02,1.346,1.356,1.357,1.346,16585,2242725.0,0.82,0.82,0.011,0.02
2014-09-03,1.357,1.36,1.365,1.355,11708,1590847.0,0.74,0.29,0.004,0.01
2014-09-04,1.354,1.341,1.354,1.341,18443,2481211.0,0.96,-1.4,-0.019,0.02
2014-09-05,1.341,1.339,1.341,1.337,9935,1330147.0,0.3,-0.15,-0.002,0.01
2014-09-09,1.345,1.348,1.35,1.345,15961,2150002.0,0.37,0.67,0.009,0.02
2014-09-10,1.335,1.34,1.34,1.331,11040,1471135.0,0.67,-0.59,-0.008,0.01
2014-09-11,1.345,1.342,1.345,1.341,6426,863323.0,0.3,0.15,0.002,0.01
2014-09-12,1.346,1.341,1.346,1.341,6922,929216.0,0.37,-0.07,-0.001,0.01
2014-09-15,1.336,1.337,1.337,1.334,4774,637364.0,0.22,-0.3,-0.004,0.01
2014-09-16,1.329,1.322,1.329,1.321,9906,1310391.0,0.6,-1.12,-0.015,0.01
2014-09-17,1.325,1.334,1.336,1.325,11559,1540950.0,0.83,0.91,0.012,0.01
2014-09-18,1.339,1.338,1.339,1.336,3892,520272.0,0.22,0.3,0.004,0.0
2014-09-19,1.34,1.354,1.354,1.34,12770,1724521.0,1.05,1.2,0.016,0.01
2014-09-22,1.35,1.346,1.35,1.345,4123,555182.0,0.37,-0.59,-0.008,0.0
2014-09-23,1.331,1.335,1.335,1.329,13855,1844749.0,0.45,-0.82,-0.011,0.02
2014-09-24,1.33,1.326,1.33,1.323,19041,2523444.0,0.52,-0.67,-0.009,0.02
2014-09-25,1.339,1.339,1.341,1.337,10037,1343698.0,0.3,0.98,0.013,0.01
2014-09-26,1.314,1.313,1.314,1.312,12518,1643560.0,0.15,-1.94,-0.026,0.01
2014-09-29,1.326,1.327,1.33,1.326,10408,1381151.0,0.3,1.07,0.014,0.01
2014-09-30,1.327,1.325,1.327,1.323,22634,2998102.0,0.3,-0.15,-0.002,0.02
2014-10-08,1.294,1.294,1.297,1.29,44777,5789999.0,0.53,-2.34,-0.031,0.05
2014-10-09,1.312,1.314,1.322,1.312,26265,3456892.0,0.77,1.55,0.02,0.03
2014-10-10,1.291,1.296,1.296,1.29,14552,1881671.0,0.46,-1.37,-0.018,0.02
2014-10-13,1.268,1.278,1.278,1.267,26138,3321978.0,0.85,-1.39,-0.018,0.03
2014-10-14,1.264,1.268,1.268,1.256,37905,4786998.0,0.94,-0.78,-0.01,0.04
2014-10-15,1.268,1.268,1.272,1.262,17393,2203797.0,0.79,0.0,0.0,0.02
2014-10-16,1.264,1.265,1.275,1.254,20679,2605743.0,1.66,-0.24,-0.003,0.02
2014-10-17,1.266,1.256,1.266,1.251,28307,3554916.0,1.19,-0.71,-0.009,0.03
2014-10-20,1.262,1.265,1.265,1.26,19692,2485645.0,0.4,0.72,0.009,0.02
2014-10-21,1.276,1.276,1.277,1.275,21010,2681030.0,0.16,0.87,0.011,0.02
2014-10-22,1.3,1.307,1.307,1.298,42897,5594689.0,0.71,2.43,0.031,0.05
2014-10-23,1.301,1.299,1.301,1.296,18594,2412412.0,0.38,-0.61,-0.008,0.02
2014-10-24,1.31,1.31,1.313,1.31,16699,2190455.0,0.23,0.85,0.011,0.02
2014-10-27,1.317,1.324,1.325,1.316,18009,2378236.0,0.69,1.07,0.014,0.02
2014-10-28,1.324,1.319,1.327,1.319,19935,2634536.0,0.6,-0.38,-0.005,0.02
2014-10-29,1.334,1.334,1.342,1.334,18827,2517622.0,0.61,1.14,0.015,0.02
2014-10-30,1.329,1.334,1.334,1.324,20367,2711972.0,0.75,0.0,0.0,0.02
2014-10-31,1.338,1.347,1.347,1.338,17248,2317430.0,0.67,0.97,0.013,0.02
2014-11-03,1.361,1.357,1.361,1.357,7248,984863.0,0.3,0.74,0.01,0.01
2014-11-04,1.334,1.359,1.362,1.334,10713,1455899.0,2.06,0.15,0.002,0.01
2014-11-05,1.353,1.354,1.357,1.352,9693,1312962.0,0.37,-0.37,-0.005,0.01
2014-11-06,1.352,1.354,1.357,1.352,7712,1044595.0,0.37,0.0,0.0,0.01
2014-11-07,1.357,1.363,1.363,1.357,10171,1383831.0,0.44,0.66,0.009,0.01
2014-11-10,1.362,1.363,1.367,1.362,7846,1070428.0,0.37,0.0,0.0,0.01
2014-11-11,1.365,1.363,1.365,1.36,11175,1521765.0,0.37,0.0,0.0,0.01
