日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-08,0.995,1.004,1.006,0.988,1534921,153164739.0,1.8,0.4,0.004,0.44
2016-08-09,1.002,1.012,1.016,1.002,456561,46082947.0,1.39,0.8,0.008,0.13
2016-08-10,1.013,1.01,1.021,1.008,295434,29975006.0,1.28,-0.2,-0.002,0.08
2016-08-11,1.01,1.014,1.029,1.009,370196,37790066.0,1.98,0.4,0.004,0.11
2016-08-12,1.013,1.037,1.041,1.009,364990,37355020.0,3.16,2.27,0.023,0.1
2016-08-15,1.044,1.097,1.132,1.04,1084278,117707931.0,8.87,5.79,0.06,0.31
2016-08-16,1.1,1.086,1.102,1.084,620838,67776092.0,1.64,-1.0,-0.011,0.18
2016-08-17,1.095,1.08,1.106,1.072,402602,43826593.0,3.13,-0.55,-0.006,0.11
2016-08-18,1.071,1.068,1.085,1.062,455972,48873984.0,2.13,-1.11,-0.012,0.13
2016-08-19,1.068,1.068,1.073,1.06,363013,38746370.0,1.22,0.0,0.0,0.1
2016-08-22,1.071,1.045,1.071,1.044,346058,36569456.0,2.53,-2.15,-0.023,0.1
2016-08-23,1.048,1.056,1.062,1.044,244776,25778161.0,1.72,1.05,0.011,0.07
2016-08-24,1.058,1.049,1.06,1.045,197640,20780326.0,1.42,-0.66,-0.007,0.06
2016-08-25,1.045,1.054,1.058,1.038,246333,25890452.0,1.91,0.48,0.005,0.07
2016-08-26,1.051,1.048,1.057,1.046,178018,18724561.0,1.04,-0.57,-0.006,0.05
2016-08-29,1.048,1.049,1.053,1.042,122601,12835434.0,1.05,0.1,0.001,0.03
2016-08-30,1.05,1.054,1.062,1.047,233843,24691966.0,1.43,0.48,0.005,0.07
2016-08-31,1.051,1.061,1.067,1.05,272966,28945104.0,1.61,0.66,0.007,0.08
2016-09-01,1.06,1.044,1.06,1.044,250670,26393289.0,1.51,-1.6,-0.017,0.07
2016-09-02,1.041,1.051,1.063,1.039,233982,24635967.0,2.3,0.67,0.007,0.07
2016-09-05,1.05,1.054,1.067,1.05,384310,40671241.0,1.62,0.29,0.003,0.11
2016-09-06,1.053,1.057,1.06,1.04,257491,27041171.0,1.9,0.28,0.003,0.07
2016-09-07,1.057,1.056,1.064,1.053,210277,22267356.0,1.04,-0.09,-0.001,0.06
2016-09-08,1.055,1.054,1.057,1.05,149731,15783936.0,0.66,-0.19,-0.002,0.04
2016-09-09,1.053,1.049,1.059,1.048,284091,29982672.0,1.04,-0.47,-0.005,0.08
2016-09-12,1.04,1.023,1.04,1.011,425783,43491163.0,2.76,-2.48,-0.026,0.12
2016-09-13,1.021,1.02,1.026,1.015,149432,15221765.0,1.08,-0.29,-0.003,0.04
2016-09-14,1.015,1.012,1.018,1.009,131022,13274348.0,0.88,-0.78,-0.008,0.04
