日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-01,3.467,3.444,3.47,3.443,126320,42172472.0,0.78,-0.81,-0.028,7.54
2016-09-02,3.444,3.424,3.452,3.412,295323,97583495.0,1.16,-0.58,-0.02,17.64
2016-09-05,3.428,3.429,3.453,3.426,219155,72672180.0,0.79,0.15,0.005,13.09
2016-09-06,3.43,3.486,3.486,3.408,382550,127407730.0,2.27,1.66,0.057,22.84
2016-09-07,3.486,3.472,3.495,3.463,278406,93672238.0,0.92,-0.4,-0.014,16.63
2016-09-08,3.472,3.484,3.485,3.465,143604,48189364.0,0.58,0.35,0.012,8.58
2016-09-09,3.474,3.456,3.489,3.451,195318,65427056.0,1.09,-0.8,-0.028,11.66
2016-09-12,3.401,3.358,3.411,3.354,403574,131764360.0,1.65,-2.84,-0.098,24.1
2016-09-13,3.373,3.379,3.384,3.365,166577,54226794.0,0.57,0.63,0.021,9.95
2016-09-14,3.37,3.36,3.378,3.35,130007,42160225.0,0.83,-0.56,-0.019,7.76
2016-09-19,3.364,3.384,3.395,3.364,96760,31568907.0,0.92,0.71,0.024,5.78
2016-09-20,3.384,3.38,3.387,3.371,75423,24575372.0,0.47,-0.12,-0.004,4.5
2016-09-21,3.383,3.388,3.405,3.375,119448,39046563.0,0.89,0.24,0.008,7.13
2016-09-22,3.4,3.404,3.418,3.4,97114,31966898.0,0.53,0.47,0.016,5.8
2016-09-23,3.406,3.406,3.414,3.401,145445,47832745.0,0.38,0.06,0.002,8.69
2016-09-26,3.398,3.335,3.398,3.335,115236,37367482.0,1.85,-2.08,-0.071,6.88
2016-09-27,3.335,3.353,3.353,3.311,138317,44481743.0,1.26,0.54,0.018,8.26
2016-09-28,3.35,3.346,3.357,3.339,55698,17969391.0,0.54,-0.21,-0.007,3.33
2016-09-29,3.352,3.366,3.379,3.347,84498,27412383.0,0.96,0.6,0.02,5.05
2016-09-30,3.36,3.38,3.386,3.36,78037,25421696.0,0.77,0.42,0.014,4.66
2016-10-10,3.396,3.443,3.443,3.391,93152,30760009.0,1.54,1.86,0.063,5.56
2016-10-11,3.447,3.457,3.457,3.437,175091,58265926.0,0.58,0.41,0.014,10.46
2016-10-12,3.452,3.457,3.464,3.445,83050,27704682.0,0.55,0.0,0.0,4.96
2016-10-13,3.458,3.458,3.468,3.449,73905,24682009.0,0.55,0.03,0.001,4.41
2016-10-14,3.455,3.458,3.458,3.437,60664,20185193.0,0.61,0.0,0.0,3.62
2016-10-17,3.449,3.42,3.462,3.414,82454,27307255.0,1.39,-1.1,-0.038,4.92
2016-10-18,3.418,3.468,3.468,3.411,96854,32180598.0,1.67,1.4,0.048,5.78
2016-10-19,3.469,3.449,3.479,3.443,84793,28340594.0,1.04,-0.55,-0.019,5.06
2016-10-20,3.447,3.469,3.474,3.447,117836,39451542.0,0.78,0.58,0.02,7.04
2016-10-21,3.469,3.461,3.478,3.442,111444,37202263.0,1.04,-0.23,-0.008,6.65
2016-10-24,3.455,3.49,3.508,3.455,190214,64170722.0,1.53,0.84,0.029,11.36
2016-10-25,3.489,3.491,3.5,3.483,83997,28316500.0,0.49,0.03,0.001,5.02
2016-10-26,3.486,3.473,3.491,3.465,137934,46296103.0,0.74,-0.52,-0.018,8.24
2016-10-27,3.473,3.471,3.477,3.459,77210,25828152.0,0.52,-0.06,-0.002,4.61
2016-10-28,3.468,3.447,3.486,3.441,74554,24903621.0,1.3,-0.69,-0.024,4.45
2016-10-31,3.445,3.43,3.445,3.411,84807,28024248.0,0.99,-0.49,-0.017,5.06
2016-11-01,3.431,3.461,3.462,3.43,76943,25581703.0,0.93,0.9,0.031,4.59
2016-11-02,3.454,3.429,3.459,3.425,102937,34189022.0,0.98,-0.92,-0.032,6.15
