日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-01,1.885,1.869,1.889,1.868,178120,119248787.0,1.11,-0.95,-0.018,0.12
2016-09-02,1.869,1.86,1.878,1.853,139236,92653619.0,1.34,-0.48,-0.009,0.1
2016-09-05,1.864,1.873,1.882,1.864,151437,101221815.0,0.97,0.7,0.013,0.1
2016-09-06,1.873,1.907,1.907,1.858,302572,204118474.0,2.62,1.82,0.034,0.21
2016-09-07,1.907,1.902,1.918,1.899,234930,160140497.0,1.0,-0.26,-0.005,0.16
2016-09-08,1.902,1.913,1.913,1.899,81207,55208349.0,0.74,0.58,0.011,0.06
2016-09-09,1.913,1.894,1.915,1.893,207713,141217011.0,1.15,-0.99,-0.019,0.14
2016-09-12,1.866,1.843,1.872,1.841,390999,259118473.0,1.64,-2.69,-0.051,0.27
2016-09-13,1.852,1.851,1.858,1.843,132144,87195089.0,0.81,0.43,0.008,0.09
2016-09-14,1.842,1.839,1.852,1.836,146449,96352526.0,0.86,-0.65,-0.012,0.1
2016-09-19,1.847,1.861,1.861,1.847,84015,55594832.0,0.76,1.2,0.022,0.06
2016-09-20,1.857,1.858,1.861,1.853,88592,58685229.0,0.43,-0.16,-0.003,0.06
2016-09-21,1.857,1.863,1.867,1.856,176510,117312120.0,0.59,0.27,0.005,0.12
2016-09-22,1.871,1.873,1.883,1.87,83521,55911435.0,0.7,0.54,0.01,0.06
2016-09-23,1.879,1.87,1.88,1.867,82079,54832764.0,0.69,-0.16,-0.003,0.06
2016-09-26,1.866,1.834,1.867,1.831,287538,189284072.0,1.93,-1.93,-0.036,0.2
2016-09-27,1.828,1.845,1.851,1.822,176488,115367739.0,1.58,0.6,0.011,0.12
2016-09-28,1.843,1.842,1.845,1.837,129123,84817280.0,0.43,-0.16,-0.003,0.09
2016-09-29,1.842,1.852,1.864,1.842,236919,156519169.0,1.19,0.54,0.01,0.16
