日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-09-25,0.982,0.95,0.982,0.95,761246,73084573.0,3.23,-4.14,-0.041,1.11
2017-09-26,0.953,0.956,0.962,0.95,208959,19954482.0,1.26,0.63,0.006,0.31
2017-09-27,0.956,0.963,0.966,0.956,87335,8383671.0,1.05,0.73,0.007,0.13
2017-09-28,0.955,0.946,0.962,0.945,69401,6628677.0,1.77,-1.77,-0.017,0.1
2017-09-29,0.946,0.949,0.956,0.946,89492,8517971.0,1.06,0.32,0.003,0.13
2017-10-09,0.962,0.96,0.999,0.959,64244,6209225.0,4.21,1.16,0.011,0.09
2017-10-10,0.959,0.961,0.961,0.953,38396,3672421.0,0.83,0.1,0.001,0.06
2017-10-11,0.961,0.958,0.964,0.957,58307,5596136.0,0.73,-0.31,-0.003,0.09
2017-10-12,0.956,0.954,0.959,0.95,31347,2993642.0,0.94,-0.42,-0.004,0.05
2017-10-13,0.957,0.954,0.958,0.953,25706,2454426.0,0.52,0.0,0.0,0.04
2017-10-16,0.955,0.941,0.955,0.941,47056,4467398.0,1.47,-1.36,-0.013,0.07
2017-10-17,0.942,0.942,0.947,0.939,56639,5333858.0,0.85,0.11,0.001,0.08
2017-10-18,0.942,0.943,0.946,0.941,17959,1693020.0,0.53,0.11,0.001,0.03
2017-10-19,0.941,0.933,0.941,0.931,30761,2874741.0,1.06,-1.06,-0.01,0.05
2017-10-20,0.934,0.944,0.944,0.933,139627,13129505.0,1.18,1.18,0.011,0.2
2017-10-23,0.943,0.945,0.947,0.943,28396,2684146.0,0.42,0.11,0.001,0.04
2017-10-24,0.946,0.956,0.96,0.943,36091,3435755.0,1.8,1.16,0.011,0.05
2017-10-25,0.956,0.961,0.968,0.956,51098,4919077.0,1.26,0.52,0.005,0.07
2017-10-26,0.958,0.96,0.962,0.955,32124,3080489.0,0.73,-0.1,-0.001,0.05
2017-10-27,0.96,0.954,0.967,0.953,58183,5587766.0,1.46,-0.63,-0.006,0.09
2017-10-30,0.954,0.954,0.958,0.943,40735,3864885.0,1.57,0.0,0.0,0.06
2017-10-31,0.95,0.957,0.958,0.948,59784,5689487.0,1.05,0.31,0.003,0.09
2017-11-01,0.955,0.957,0.971,0.955,44224,4261440.0,1.67,0.0,0.0,0.06
2017-11-02,0.954,0.952,0.955,0.949,23634,2249592.0,0.63,-0.52,-0.005,0.03
2017-11-03,0.951,0.942,0.951,0.935,42316,3995161.0,1.68,-1.05,-0.01,0.06
2017-11-06,0.94,0.933,0.94,0.928,20919,1948081.0,1.27,-0.96,-0.009,0.03
2017-11-07,0.93,0.94,0.94,0.93,36091,3373859.0,1.07,0.75,0.007,0.05
2017-11-08,0.938,0.941,0.947,0.938,96785,9111216.0,0.96,0.11,0.001,0.14
2017-11-09,0.94,0.945,0.946,0.94,22006,2071385.0,0.64,0.43,0.004,0.03
2017-11-10,0.941,0.94,0.945,0.939,20462,1924219.0,0.63,-0.53,-0.005,0.03
2017-11-13,0.941,0.94,0.943,0.937,39298,3694276.0,0.64,0.0,0.0,0.06
2017-11-14,0.936,0.945,0.948,0.935,175553,16525431.0,1.38,0.53,0.005,0.26
2017-11-15,0.941,0.948,0.95,0.94,58446,5514737.0,1.06,0.32,0.003,0.09
2017-11-16,0.944,0.955,0.959,0.944,42147,4023431.0,1.58,0.74,0.007,0.06
2017-11-17,0.955,0.948,0.961,0.947,34780,3324014.0,1.47,-0.73,-0.007,0.05
2017-11-20,0.951,0.945,0.951,0.932,29749,2782898.0,2.0,-0.32,-0.003,0.04
2017-11-21,0.934,0.97,0.973,0.934,60955,5883297.0,4.13,2.65,0.025,0.09
2017-11-22,0.975,0.977,0.983,0.97,51023,4991910.0,1.34,0.72,0.007,0.07
2017-11-23,0.978,0.956,0.98,0.956,56238,5479521.0,2.46,-2.15,-0.021,0.08
2017-11-24,0.96,0.965,0.967,0.95,26510,2542450.0,1.78,0.94,0.009,0.04
2017-11-27,0.965,0.958,0.973,0.955,46315,4470867.0,1.87,-0.73,-0.007,0.07
2017-11-28,0.953,0.955,0.956,0.946,24747,2357453.0,1.04,-0.31,-0.003,0.04
2017-11-29,0.955,0.991,0.993,0.953,60084,5851209.0,4.19,3.77,0.036,0.09
2017-11-30,0.99,0.963,0.99,0.962,22721,2219869.0,2.83,-2.83,-0.028,0.03
2017-12-01,0.96,0.967,0.981,0.959,32263,3127056.0,2.28,0.42,0.004,0.05
2017-12-04,0.965,0.964,0.967,0.957,104224,10018000.0,1.03,-0.31,-0.003,0.15
2017-12-05,0.957,0.958,0.964,0.957,14945,1435031.0,0.73,-0.62,-0.006,0.02
2017-12-06,0.955,0.953,0.959,0.946,39572,3785568.0,1.36,-0.52,-0.005,0.06
2017-12-07,0.956,0.953,0.978,0.953,31079,2988635.0,2.62,0.0,0.0,0.05
2017-12-08,0.95,0.955,0.958,0.945,38690,3683638.0,1.36,0.21,0.002,0.06
2017-12-11,0.954,0.959,0.959,0.952,6167,589520.0,0.73,0.42,0.004,0.01
2017-12-12,0.96,0.955,0.968,0.955,13131,1261054.0,1.36,-0.42,-0.004,0.02
2017-12-13,0.956,0.957,0.958,0.951,3339,318767.0,0.73,0.21,0.002,0.0
2017-12-14,0.956,0.955,0.959,0.954,10811,1035623.0,0.52,-0.21,-0.002,0.02
2017-12-15,0.951,0.944,0.952,0.943,11528,1092437.0,0.94,-1.15,-0.011,0.02
2017-12-18,0.95,0.934,0.95,0.85,18573,1725287.0,10.59,-1.06,-0.01,0.03
2017-12-19,0.936,0.946,0.946,0.936,15035,1413952.0,1.07,1.28,0.012,0.02
2017-12-20,0.946,0.934,0.946,0.931,15765,1472602.0,1.59,-1.27,-0.012,0.02
2017-12-21,0.936,0.948,0.954,0.934,5864,553750.0,2.14,1.5,0.014,0.01
2017-12-22,0.948,0.945,0.95,0.945,2638,250259.0,0.53,-0.32,-0.003,0.0
2017-12-25,0.957,0.953,0.969,0.95,16255,1561057.0,2.01,0.85,0.008,0.02
2017-12-26,0.953,0.959,0.959,0.953,20256,1938379.0,0.63,0.63,0.006,0.03
2017-12-27,0.958,0.954,0.965,0.952,24651,2364887.0,1.36,-0.52,-0.005,0.04
2017-12-28,0.95,0.953,0.957,0.95,854,81592.0,0.73,-0.1,-0.001,0.0
2017-12-29,0.953,0.967,0.97,0.953,38214,3683883.0,1.78,1.47,0.014,0.06
2018-01-02,0.972,0.994,1.001,0.972,87879,8747553.0,3.0,2.79,0.027,0.13
2018-01-03,0.994,1.004,1.008,0.99,108675,10907648.0,1.81,1.01,0.01,0.16
2018-01-04,1.003,1.006,1.008,0.996,82297,8265106.0,1.2,0.2,0.002,0.12
2018-01-05,1.009,1.042,1.065,0.997,214538,22138462.0,6.76,3.58,0.036,0.31
2018-01-08,1.1,1.067,1.1,1.05,189347,20257591.0,4.8,2.4,0.025,0.28
2018-01-09,1.062,1.069,1.08,1.056,107492,11505710.0,2.25,0.19,0.002,0.16
2018-01-10,1.07,1.068,1.085,1.06,42865,4599348.0,2.34,-0.09,-0.001,0.06
2018-01-11,1.065,1.064,1.069,1.052,66940,7097340.0,1.59,-0.37,-0.004,0.1
2018-01-12,1.066,1.079,1.092,1.066,88375,9555245.0,2.44,1.41,0.015,0.13
2018-01-15,1.078,1.072,1.09,1.065,86151,9311090.0,2.32,-0.65,-0.007,0.13
2018-01-16,1.065,1.135,1.147,1.065,238129,26346665.0,7.65,5.88,0.063,0.35
2018-01-17,1.133,1.121,1.14,1.09,193998,21784686.0,4.41,-1.23,-0.014,0.28
2018-01-18,1.124,1.112,1.124,1.104,111218,12398743.0,1.78,-0.8,-0.009,0.16
2018-01-19,1.11,1.114,1.134,1.095,151653,16993901.0,3.51,0.18,0.002,0.22
2018-01-22,1.109,1.11,1.114,1.097,74880,8287441.0,1.53,-0.36,-0.004,0.11
2018-01-23,1.112,1.143,1.147,1.11,184596,20836294.0,3.33,2.97,0.033,0.27
2018-01-24,1.14,1.129,1.152,1.125,120789,13765202.0,2.36,-1.22,-0.014,0.18
2018-01-25,1.125,1.115,1.125,1.098,71512,7958386.0,2.39,-1.24,-0.014,0.1
2018-01-26,1.11,1.128,1.138,1.109,133350,15020919.0,2.6,1.17,0.013,0.2
2018-01-29,1.128,1.119,1.144,1.11,93562,10566061.0,3.01,-0.8,-0.009,0.14
2018-01-30,1.115,1.092,1.118,1.091,35540,3922067.0,2.41,-2.41,-0.027,0.05
2018-01-31,1.096,1.107,1.116,1.082,66881,7366438.0,3.11,1.37,0.015,0.1
2018-02-01,1.107,1.083,1.112,1.078,97132,10646179.0,3.07,-2.17,-0.024,0.14
2018-02-02,1.084,1.081,1.084,1.008,71412,7651178.0,7.02,-0.18,-0.002,0.1
2018-02-05,1.058,1.085,1.086,1.058,49098,5302172.0,2.59,0.37,0.004,0.07
2018-02-06,1.065,1.03,1.066,1.025,70001,7335947.0,3.78,-5.07,-0.055,0.1
2018-02-07,1.056,0.983,1.056,0.973,66160,6696677.0,8.06,-4.56,-0.047,0.1
2018-02-08,0.984,0.979,0.994,0.946,32604,3194960.0,4.88,-0.41,-0.004,0.05
2018-02-09,0.934,0.921,0.958,0.91,47571,4412759.0,4.9,-5.92,-0.058,0.07
2018-02-12,0.932,0.943,0.952,0.924,51753,4847254.0,3.04,2.39,0.022,0.08
2018-02-13,0.943,0.966,0.982,0.943,36444,3537835.0,4.14,2.44,0.023,0.05
2018-02-14,0.96,0.972,0.973,0.953,28647,2761416.0,2.07,0.62,0.006,0.04
2018-02-22,0.977,0.985,0.99,0.977,15366,1513631.0,1.34,1.34,0.013,0.02
2018-02-23,0.985,0.998,1.009,0.984,60366,6015132.0,2.54,1.32,0.013,0.09
2018-02-26,0.995,0.995,1.004,0.967,40234,3957317.0,3.71,-0.3,-0.003,0.06
2018-02-27,0.986,0.972,0.986,0.972,34672,3392916.0,1.41,-2.31,-0.023,0.05
2018-02-28,0.97,0.988,0.991,0.957,82281,8054649.0,3.5,1.65,0.016,0.12
2018-03-01,0.977,0.976,0.988,0.962,98138,9630972.0,2.63,-1.21,-0.012,0.14
2018-03-02,0.961,0.976,0.986,0.961,75921,7407974.0,2.56,0.0,0.0,0.11
2018-03-05,0.98,0.977,0.99,0.976,57974,5706900.0,1.43,0.1,0.001,0.08
2018-03-06,0.984,1.007,1.008,0.968,116282,11489606.0,4.09,3.07,0.03,0.17
2018-03-07,1.007,0.997,1.01,0.993,34751,3481034.0,1.69,-0.99,-0.01,0.05
2018-03-08,0.995,1.009,1.009,0.988,27590,2755025.0,2.11,1.2,0.012,0.04
2018-03-09,1.009,1.004,1.009,0.999,35013,3514872.0,0.99,-0.5,-0.005,0.05
2018-03-12,1.002,0.989,1.003,0.981,39483,3913116.0,2.19,-1.49,-0.015,0.06
