日期,房地产ETF,中概互联网ETF,沪深300ETF,上证50ETF,中证500ETF,创业板ETF,中小100ETF,医药ETF,证券ETF,环保ETF,恒生ETF,H股ETF,标普500ETF,纳指ETF,军工ETF,银行ETF,传媒ETF,国债ETF,十年国债ETF
2016-09-01,,,3.52,2.559,1.869,2.084,3.444,1.292,1.044,,1.226,1.026,1.401,1.695,1.013,,,113.941,
2016-09-02,,,3.535,2.57,1.86,2.081,3.424,1.284,1.051,,1.231,1.038,1.404,1.694,1.001,,,113.931,
2016-09-05,,,3.542,2.571,1.873,2.088,3.429,1.29,1.054,,1.258,1.056,1.419,1.704,1.003,,,113.953,
2016-09-06,,,3.571,2.577,1.907,2.128,3.486,1.292,1.057,,1.268,1.063,1.445,1.71,1.012,,,113.801,
2016-09-07,,,3.573,2.581,1.902,2.114,3.472,1.289,1.056,,1.262,1.064,1.451,1.722,1.019,,,113.836,
2016-09-08,,,3.568,2.581,1.913,2.128,3.484,1.289,1.054,,1.27,1.071,1.449,1.717,1.02,,,113.88,
2016-09-09,,,3.551,2.571,1.894,2.109,3.456,1.29,1.049,,1.295,1.087,1.443,1.715,1.018,,,114.046,
2016-09-12,,,3.484,2.541,1.843,2.06,3.358,1.265,1.023,,1.253,1.041,1.404,1.661,0.992,,,113.912,
2016-09-13,,,3.484,2.533,1.851,2.055,3.379,1.276,1.02,,1.251,1.033,1.417,1.685,0.994,,,113.965,
2016-09-14,,,3.464,2.52,1.839,2.051,3.36,1.265,1.012,,1.242,1.024,1.415,1.672,0.987,,,114.064,
2016-09-19,,,3.485,2.533,1.861,2.072,3.384,1.27,1.015,,1.258,1.046,1.424,1.712,0.992,,,114.091,
2016-09-20,,,3.481,2.53,1.858,2.066,3.38,1.279,1.013,,1.255,1.043,1.423,1.701,0.986,,,114.152,
2016-09-21,,,3.494,2.534,1.863,2.068,3.388,1.28,1.02,,1.266,1.057,1.441,1.701,0.989,,,114.134,
2016-09-22,,,3.516,2.546,1.873,2.072,3.404,1.288,1.02,,1.265,1.058,1.453,1.728,0.99,,,114.13,
2016-09-23,,,3.508,2.54,1.87,2.065,3.406,1.286,1.016,,1.27,1.053,1.465,1.773,0.987,,,114.153,
2016-09-26,,,3.452,2.513,1.834,2.032,3.335,1.28,0.998,,1.248,1.032,1.447,1.745,0.962,,,114.183,
2016-09-27,,,3.469,2.52,1.845,2.049,3.353,1.276,1.008,,1.26,1.046,1.446,1.722,0.963,,,114.201,
2016-09-28,,,3.464,2.51,1.842,2.05,3.346,1.274,1.002,,1.251,1.034,1.445,1.724,0.965,,,114.269,
2016-09-29,,,3.479,2.521,1.852,2.058,3.366,1.278,1.016,,1.259,1.044,1.435,1.724,0.966,,,114.374,
2016-09-30,,,3.489,2.526,1.86,2.062,3.38,1.285,1.017,,1.243,1.031,1.449,1.707,0.971,,,114.437,
2016-10-10,,,3.527,2.553,1.895,2.119,3.443,1.3,1.03,,1.277,1.06,1.464,1.721,0.996,,,114.455,
2016-10-11,,,3.535,2.556,1.901,2.118,3.457,1.307,1.032,,1.259,1.047,1.477,1.743,1.007,,,114.477,
2016-10-12,,,3.527,2.548,1.9,2.116,3.457,1.307,1.029,,1.25,1.039,1.477,1.74,1.006,,,114.478,
2016-10-13,,,3.527,2.548,1.902,2.113,3.458,1.309,1.03,,1.244,1.029,1.508,1.735,1.006,,,114.507,
2016-10-14,,,3.537,2.557,1.898,2.104,3.458,1.307,1.03,,1.251,1.035,1.521,1.734,1.006,,,114.597,
