,名称,代码
0,元宇宙控股(权证),105.MMVWW
1,GT Biopharma Inc,105.GTBP
2,元宇宙控股,105.MMV
3,99 Acquisition Group Inc Wt,105.NNAGW
4,AgriFORCE Growing Systems Ltd W,105.AGRIW
5,Complete Solaria Inc Wt,105.CSLRW
6,Coeptis Therapeutics Holdings I,105.COEPW
7,Pineapple Energy Inc,105.PEGY
8,法拉第未来,105.FFIE
9,NKGen Biotech Inc Wt,105.NKGNW
10,Blue World Acquisition Corp Wt,105.BWAQW
11,Zenvia Inc-A,105.ZENV
12,Spectaire Holdings Inc Wt,105.SPECW
13,Oak Woods Acquisition Corp Wt,105.OAKUW
14,Celularity Inc Wt,105.CELUW
15,ESS Tech Inc Wt,106.GWH_WS
16,Shapeways Holdings Inc Wt,105.SHPWW
17,NewGenIvf Group Ltd Wt,105.NIVFW
18,Aeva Technologies Inc Wt,106.AEVA_WS
19,Scorpius Holdings Inc,107.SCPX
20,Lemonade Inc Wt,107.LMND_WS
21,NKGen Biotech Inc,105.NKGN
22,SRIVARU Holding Ltd Wt,105.SVMHW
23,Hyzon Motors Inc Wt,105.HYZNW
24,AEye Inc Wt,105.LIDRW
25,Project Energy Reimagined Acqui,105.PEGRW
26,AST SpaceMobile Inc Wt,105.ASTSW
27,Sphere 3D Corp,105.ANY
28,Fintech Ecosystem Development C,105.FEXDW
29,碳博士控股,105.TANH
30,NovaBay Pharmaceuticals Inc,107.NBY
31,BTC Digital Ltd Wt,105.BTCTW
32,Vocodia Holdings Corp Wt-B,107.VHAI_WS_B
33,Bakkt Holdings Inc-A,106.BKKT
34,Bruush Oral Care Inc Wt,105.BRSHW
35,Markforged Holding Corp Wt,106.MKFG_WS
36,Ainos Inc Wt,105.AIMDW
37,ESGL Holdings Ltd-A,105.ESGL
38,Vicarious Surgical Inc Wt,106.RBOT_WS
39,Leafly Holdings Inc Wt,105.LFLYW
40,Cheetah Net Supply Chain Servic,105.CTNT
41,Xos Inc Wt,105.XOSWW
42,Hycroft Mining Holding Corp Wt,105.HYMCL
43,Bruush Oral Care Inc,105.BRSH
44,Scilex Holding Co,105.SCLX
45,RF Acquisition Corp Rt,105.RFACR
46,Sintx Technologies Inc,105.SINT
47,Ares Acquisition Corp Wt,107.JWSM_WS
48,Oragenics Inc,107.OGEN
49,Rubicon Technologies Inc-A,106.RBT
50,Netcapital Inc Wt,105.NCPLW
51,Learn CW Investment Corp Wt,106.LCW_WS
52,OppFi Inc Wt,106.OPFI_WS
53,Humacyte Inc Wt,105.HUMAW
54,MIRA Pharmaceuticals Inc,105.MIRA
55,VinFast Auto Ltd Wt,105.VFSWW
56,VinFast Auto Ltd,105.VFS
57,Singlepoint Inc,107.SING
58,Data Storage Corp Wt,105.DTSTW
59,Scilex Holding Co Wt,105.SCLXW
60,Netcapital Inc,105.NCPL
61,中北能,105.CNEY
62,Dyne Therapeutics Inc,105.DYN
63,Hims & Hers Health Inc-A,106.HIMS
64,NRX Pharmaceuticals Inc Wt,105.NRXPW
65,ESGL Holdings Ltd Wt,105.ESGLW
66,Mesa Air Group Inc,105.MESA
67,Dare Bioscience Inc,105.DARE
68,AgriFORCE Growing Systems Ltd,105.AGRI
69,Sharps Technology Inc Wt,105.STSSW
70,Phoenix Motor Inc,105.PEV
71,60 Degrees Pharmaceuticals Inc,105.SXTP
72,Wix.com Ltd,105.WIX
73,Surrozen Inc Wt,105.SRZNW
74,康姆泰克通讯,105.CMTL
75,拍明芯城,105.IZM
76,Overseas Shipholding Group Inc-,106.OSG
77,Cartica Acquisition Corp Wt,105.CITEW
78,Cue Health Inc,105.HLTH
79,Palladyne AI Corp,105.PDYN
80,Kintara Therapeutics Inc,105.KTRA
81,BM Technologies Inc Wt,107.BMTX_WS
82,HeartBeam Inc,105.BEAT
83,比特数字,105.BTBT
84,Lifezone Metals Ltd Wt,106.LZM_WS
85,Lightbridge Corp,105.LTBR
86,PTC Therapeutics Inc,105.PTCT
87,猎豹移动,106.CMCM
88,华赢控股,105.SWIN
89,Selina Hospitality Plc,105.SLNA
90,Captivision Inc Wt,105.CAPTW
91,Mawson Infrastructure Group Inc,105.MIGI
92,Rigel Resource Acquisition Corp,106.RRAC_WS
93,ReShape Lifesciences Inc,105.RSLS
94,泰和诚医疗,106.CCM
95,Lotus Technology Inc Wt,105.LOTWW
96,Zalatoris Acquisition Corp Wt,106.TCOA_WS
97,Ensysce Biosciences Inc,105.ENSC
98,LQR House Inc,105.LQR
99,AvePoint Inc Wt,105.AVPTW
100,Genelux Corp,105.GNLX
101,Serina Therapeutics Inc,107.SER
102,OCA Acquisition Corp Wt,105.OCAXW
103,TMT Acquisition Corp Rt,105.TMTCR
104,Austin Gold Corp,107.AUST
105,GraniteShares 2x Long COIN Dail,105.CONL
106,东方文化,105.OCG
107,Pyxis Tankers Inc Wt,105.PXSAW
108,NewGenIvf Group Ltd-A,105.NIVF
